Team,Country,13/14,14/15,15/16,16/17,17/18
IBV Vestmannaeyjar,Isl,0.50,,,,
Honvéd Budapest,Hun,0.50,,,,1.00
Vasas Budapest,Hun,,,,,0.25
MTK Budapest,Hun,,,0.25,0.50,
Diósgyöri Miskolc,Hun,,1.00,,,
ETO Györ,Hun,1.00,0.50,,,
IFK Mariehamn,Fin,0.25,,,0.25,1.00
FK Liepaja,Lat,,,,1.00,0.50
Europa FC,Gib,,0.25,0.25,0.50,0.50
SJK Seinäjoki,Fin,,,0.25,1.00,0.25
B36 Torshavn,Far,,0.25,0.50,0.50,0.25
Pelister Bitola,Mac,,,,,0.25
Sileks Kratovo,Mac,,,,0.25,
Renova Dzepciste,Mac,,,0.25,,
Metalurg Skopje,Mac,0.25,1.00,,,
Sligo Rovers,Irl,1.00,0.50,,,
FK Turnovo,Mac,0.50,0.25,,,
Teteks Tetovo,Mac,0.25,,,,
VPS Vaasa,Fin,,0.25,0.25,,0.50
RoPS Rovaniemi,Fin,,0.50,,0.50,
FC Lahti,Fin,,,0.25,,
MyPa-47,Fin,,0.50,,,
Honka Espoo,Fin,0.50,0.25,,,
Inter Turku,Fin,0.25,,,,
TPS Turku,Fin,0.25,,,,
Shamrock Rovers,Irl,,,0.50,0.25,0.50
Derry City,Irl,0.50,0.50,,,0.25
Uni College Dublin,Irl,,,0.50,,
Drogheda United,Irl,0.25,,,,
Radnik Bijeljina,Bos,,,,0.25,
Sloboda Tuzla,Bos,,,,0.25,
Olimpic Sarajevo,Bos,,,0.25,,
Samtredia,Geo,,,,0.25,1.00
Flora Tallinn,Est,0.25,,0.25,0.50,0.25
Tre Penne,Sma,0.50,,,0.50,0.25
Folgore,Sma,,0.25,0.50,0.25,0.25
Atlantas Klaipeda,Lit,,0.50,0.25,0.25,0.25
Daugava Daugavpils,Lat,1.00,0.25,,,
Ekranas Panevezys,Lit,1.00,0.25,,,
Skonto Riga,Lat,0.50,,0.50,,
Daugava Riga,Lat,,0.25,,,
Metalurgs Liepaja,Lat,0.25,,,,
FCI Tallinn,Est,,,,0.25,0.50
Kalev Sillamäe,Est,,0.50,0.25,,
Santos Tartu,Est,,0.25,,,
Trans Narva,Est,0.25,,,,
Kruoja Pakruojis,Lit,0.25,,0.25,,
Banga Gargzdai,Lit,,0.25,,,
Bala Town,Wal,0.25,,0.25,0.25,0.25
UE Santa Coloma,And,0.25,0.25,,0.25,0.25
Dinamo Batumi,Geo,,,0.25,,0.25
Torpedo Kutaisi,Geo,0.25,,,,0.25
Zeta Golubovci,Mon,,,,,0.25
FC Lusitanos,And,0.50,,0.25,0.25,
Jeunesse d'Esch,Lux,0.50,0.25,,0.25,
Bokelj Kotor,Mon,,,,0.25,
Spartak Tskhinvali,Geo,,,0.25,,
FC Zestafoni,Geo,,0.50,,,
Celik Niksic,Mon,0.25,0.25,,,
Lovcen Cetinje,Mon,,0.25,,,
Sioni Bolnisi,Geo,,0.25,,,
EB Streymur,Far,1.00,,,,
Gandzasar Kapan,Arm,0.25,,,,0.25
Banants Yerevan,Arm,,0.50,,0.25,
Ulisses Yerevan,Arm,,,0.25,,
Mika Ashtarak,Arm,0.25,0.25,,,
Balzan FC,Mlt,,,0.25,0.25,0.25
Floriana,Mlt,,,,,0.25
Sliema Wanderers,Mlt,0.25,0.25,,,
Progrès Niederkorn,Lux,,,0.25,,0.50
Ballymena United,Nir,,,,,0.25
Coleraine,Nir,,,,,0.25
Glenavon,Nir,,0.25,0.25,0.25,
Glentoran,Nir,0.25,,0.25,,
Connah's Quay,Wal,,,,0.50,0.25
Bangor City,Wal,,0.25,,,0.25
Llandudno FC,Wal,,,,0.25,
Newtown,Wal,,,0.50,,
Airbus UK Broughton,Wal,0.25,0.25,0.25,,
Aberystwyth Town,Wal,,0.25,,,
Prestatyn Town,Wal,0.50,,,,
NSI Runavik,Far,,,0.25,0.25,0.25
Sant Julià,And,,0.25,0.25,,0.25
KI Klaksvik,Far,,,,,0.25
IF Fuglafjørdur,Far,0.25,0.25,,,
St Joseph's FC,Gib,,,,,0.25
Trepça'89,Kos,,,,,0.50
Libertas,Sma,0.25,0.25,,,
FC Prishtina,Kos,,,,,0.25
Juvenes Dogana,Sma,,,0.25,,
