,Player,Nationality,Position,Club,Age,Born,90s,Yellow Cards,Red Cards,2nd Yellows,Fouls Comitted,Fouls Drawn,Crosses,Interceptions,Tackles won,penalties won,penalties comitted,own goals ,ball recoveries
709,Dmytro Kryskiv, UKR,MF,Shakhtar,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0
710,Serhiy Kryvtsov, UKR,DF,Shakhtar,31,1991,0.1,0,0,0,0,1,0,0,0,0,0,0,0
711,Cyle Larin, CAN,"FW,MF",Club Brugge,27,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0
712,Alexander lowry, SCO,MF,Rangers,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0
713,Mariano, DOM,FW,Real Madrid,28,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0
714,James McCarthy, IRL,MF,Celtic,31,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0
715,Antonios Papadopoulos, GER,"MF,FW",Dortmund,22,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0
716,Suf Podgoreanu, ISR,DF,Maccabi Haifa,20,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0
717,Cisse Sandra, BEL,FW,Club Brugge,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0
718,Lucas Veríssimo, BRA,DF,Benfica,27,1995,0.1,0,0,0,1,0,0,0,0,0,0,0,0
719,Alessandro Zanoli, ITA,DF,Napoli,21,2000,0.1,0,0,0,0,0,0,3,1,2,0,0,0
720,Tommaso Barbieri, ITA,MF,Juventus,19,2002,0.0,0,0,0,0,0,0,1,0,1,0,0,0
721,Enzo Barrenechea, ARG,DF,Juventus,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0
722,Adam Kronus, CZE,FW,Viktoria Plzeň,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0
723,Hugo Novoa, ESP,MF,RB Leipzig,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0
724,Calvin Ramsay, SCO,DF,Liverpool,19,2003,0.0,0,0,0,0,1,0,0,0,0,0,0,0
725,Andreas Schjelderup, NOR,FW,Benfica,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0
726,Jorne Spileers, BEL,DF,Club Brugge,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0
