,Player,Nationality,Position,Club ,Age,Born,90s,Total Passes completion %,Progressive passing distance,Passes completed (short) %,Passes completed (medium) %,Passes completed (long) %,Assists,Expected Assist Goals (xAG),xA,A-xAG,Key Passes,Passes into Final third,Passes into Penalty Area,Crosses into Penalty Area,Progressive passes
354,Filip Kostić,SRB,"DF,FW",Juventus,29,1992,4.8,69.1,686,84.2,66.3,38.7,1,1.3,0.5,-0.3,12,14,7,5,15
355,Kalidou Koulibaly,SEN,DF,Chelsea,31,1991,6.3,88.3,2507,92.8,94.4,54.1,0,0.5,0.4,-0.5,3,29,2,0,26
356,Jules Koundé,FRA,DF,Barcelona,23,1998,2.7,90.5,1303,92.0,92.3,80.0,1,0.1,0.2,0.9,1,19,1,0,28
357,Mateo Kovačić,CRO,MF,Chelsea,28,1994,6.9,87.3,2096,90.8,91.3,76.3,0,0.8,1.1,-0.8,8,67,11,0,52
358,Adam Kronus,CZE,FW,Viktoria Plzeň,20,2002,0.0,50.0,18,50.0,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
359,Toni Kroos,GER,MF,Real Madrid,32,1990,9.4,91.4,5367,94.5,97.5,75.8,2,0.9,1.2,1.1,16,107,8,3,88
360,Rade Krunić,BIH,"MF,FW",Milan,28,1993,9.1,82.5,1239,87.8,85.4,75.0,0,0.0,0.1,0.0,0,24,1,0,27
361,Dmytro Kryskiv,UKR,MF,Shakhtar,21,2000,0.1,100.0,12,100.0,100.0,0.0,0,0.0,0.0,0.0,0,1,0,0,1
362,Serhiy Kryvtsov,UKR,DF,Shakhtar,31,1991,0.1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
363,Dejan Kulusevski,SWE,"MF,DF",Tottenham,22,2000,2.2,74.2,205,83.0,74.2,55.6,0,0.3,0.2,-0.3,4,3,3,2,5
364,Khvicha Kvaratskhelia,GEO,FW,Napoli,21,2001,7.7,73.6,640,87.3,71.6,51.5,4,2.4,2.1,1.6,17,8,8,2,19
365,Konrad Laimer,AUT,"MF,FW",RB Leipzig,25,1997,2.9,81.3,255,85.0,88.9,20.0,0,0.4,0.4,-0.4,2,6,2,1,6
366,Érik Lamela,ARG,"FW,MF",Sevilla,30,1992,3.1,80.2,249,81.4,83.0,80.0,0,0.6,0.5,-0.6,5,4,4,0,16
367,Noa Lang,NED,FW,Club Brugge,23,1999,3.2,68.7,522,78.6,84.3,28.0,0,0.1,0.2,-0.1,3,7,6,1,12
368,Aymeric Laporte,ESP,DF,Manchester City,28,1994,3.2,93.3,1123,98.0,95.7,66.7,0,0.1,0.1,-0.1,1,38,0,0,15
369,Cyle Larin,CAN,"FW,MF",Club Brugge,27,1995,0.1,100.0,1,100.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
370,Rasmus Lauritsen,DEN,DF,Dinamo Zagreb,26,1996,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
371,Neta Lavi,ISR,MF,Maccabi Haifa,25,1996,5.2,83.6,1378,84.7,89.4,78.8,0,0.3,0.3,-0.3,7,20,2,0,29
372,Rafael Leão,POR,"FW,MF",Milan,23,1999,10.1,70.0,723,77.4,74.0,71.9,4,2.7,2.9,1.3,15,16,16,5,24
373,Thomas Lemar,FRA,MF,Atlético Madrid,26,1995,1.2,78.1,200,81.8,100.0,50.0,0,0.2,0.1,-0.2,2,4,3,0,7
374,Clément Lenglet,FRA,DF,Tottenham,27,1995,5.6,84.4,1912,93.7,87.0,59.3,0,0.4,0.6,-0.4,2,23,2,0,27
375,Christopher Lenz,GER,DF,Eint Frankfurt,27,1994,2.5,71.2,460,82.2,78.7,52.9,0,0.2,0.1,-0.2,3,1,1,0,3
376,Lukas Lerager,DEN,MF,FC Copenhagen,29,1993,5.0,77.4,528,82.8,76.6,73.3,0,0.2,0.1,-0.2,4,12,2,0,14
377,Robert Lewandowski,POL,FW,Barcelona,33,1988,4.9,65.6,265,76.0,73.3,33.3,0,0.7,1.8,-0.7,7,6,7,2,18
378,Rico Lewis,ENG,DF,Manchester City,17,2004,1.3,90.7,123,94.2,94.7,33.3,0,0.1,0.1,-0.1,1,7,0,0,1
379,Matthijs de Ligt,NED,DF,Bayern Munich,22,1999,6.8,92.8,2860,94.4,97.5,74.6,0,0.0,0.1,0.0,0,40,3,0,28
380,Jesper Lindstrøm,DEN,"MF,FW",Eint Frankfurt,22,2000,5.6,65.4,301,69.9,78.8,25.0,0,1.0,0.9,-1.0,8,4,5,0,10
381,Dominik Livaković,CRO,GK,Dinamo Zagreb,27,1995,6.0,68.0,3636,100.0,98.8,42.4,0,0.0,0.0,0.0,0,2,0,0,0
382,Robert Ljubicic,AUT,"FW,DF",Dinamo Zagreb,23,1999,6.0,74.9,1882,87.1,75.0,57.6,0,0.1,0.2,-0.1,2,25,5,1,32
383,Marcos Llorente,ESP,"MF,FW",Atlético Madrid,27,1995,2.4,83.8,278,97.0,88.5,37.5,0,0.1,0.1,-0.1,2,6,2,0,9
384,Hugo Lloris,FRA,GK,Tottenham,35,1986,6.0,85.2,2335,100.0,98.6,57.6,0,0.0,0.0,0.0,0,2,0,0,0
385,Danny Loader,ENG,"FW,MF",Porto,21,2000,0.6,76.0,41,92.3,57.1,0.0,0,0.0,0.0,0.0,0,0,1,0,1
386,Stanislav Lobotka,SVK,MF,Napoli,27,1994,9.7,92.1,2335,95.5,91.5,82.9,0,0.3,0.2,-0.3,6,42,2,1,44
387,Manuel Locatelli,ITA,MF,Juventus,24,1998,2.5,86.7,1139,90.7,93.1,71.8,0,0.3,0.2,-0.3,1,21,4,0,28
388,Ruben Loftus-Cheek,ENG,MF,Chelsea,26,1996,3.2,87.8,693,90.9,94.4,54.5,1,0.2,0.2,0.8,1,17,2,0,21
389,Pau López,ESP,GK,Marseille,27,1994,6.0,76.3,2373,100.0,98.5,55.1,0,0.0,0.0,0.0,0,4,0,0,0
390,Alexander lowry,SCO,MF,Rangers,19,2003,0.1,66.7,0,50.0,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
391,Hirving Lozano,MEX,FW,Napoli,27,1995,5.2,70.9,374,85.7,62.2,41.7,1,1.7,1.1,-0.7,8,8,3,1,12
392,Florentino Luís,POR,MF,Benfica,22,1999,9.5,88.6,2278,92.0,90.7,85.7,0,0.0,0.2,0.0,1,49,2,0,42
393,Romelu Lukaku,BEL,FW,Inter,29,1993,2.1,72.2,146,75.0,86.7,33.3,1,0.6,0.6,0.4,6,6,2,0,9
394,John Lundstram,ENG,"MF,DF",Rangers,28,1994,5.0,79.7,774,85.3,88.6,46.2,0,0.1,0.0,-0.1,1,9,1,0,12
395,Andriy Lunin,UKR,GK,Real Madrid,23,1999,2.0,95.3,412,100.0,100.0,50.0,0,0.0,0.0,0.0,0,0,0,0,0
396,Mahir Madatov,AZE,FW,Dinamo Zagreb,25,1997,0.2,85.7,12,80.0,100.0,0.0,0,0.2,0.0,-0.2,1,0,0,0,0
397,Daizen Maeda,JPN,FW,Celtic,24,1997,3.7,71.8,136,78.9,86.4,0.0,0,0.7,0.4,-0.7,4,0,3,1,4
398,Riyad Mahrez,ALG,"FW,MF",Manchester City,31,1991,5.6,86.2,616,93.3,88.6,77.1,2,1.8,1.9,0.2,19,9,12,3,15
399,Mike Maignan,FRA,GK,Milan,27,1995,7.0,83.5,4081,97.8,99.0,65.0,0,0.0,0.0,0.0,0,4,0,0,0
400,Donyell Malen,NED,"FW,MF",Dortmund,23,1999,2.8,75.9,93,86.1,80.0,0.0,0,0.1,0.2,-0.1,2,4,1,0,6
401,Reinildo Mandava,MOZ,DF,Atlético Madrid,28,1994,5.7,88.5,1401,94.4,90.7,50.0,0,0.1,0.2,-0.1,2,33,2,1,34
402,Sadio Mané,SEN,FW,Bayern Munich,30,1992,6.1,78.2,711,86.1,84.3,61.5,1,0.9,1.1,0.1,8,20,17,0,38
403,Iván Marcano,ESP,DF,Porto,35,1987,3.0,88.5,1100,89.1,94.8,77.1,0,0.5,0.2,-0.5,2,7,1,0,10
404,Marcão,BRA,DF,Sevilla,26,1996,2.5,86.0,1039,96.2,90.2,43.8,0,0.0,0.0,0.0,0,7,0,0,11
405,José María Giménez,URU,DF,Atlético Madrid,27,1995,4.5,87.8,2093,92.6,90.4,80.3,0,0.1,0.1,-0.1,1,14,4,1,16
406,Mariano,DOM,FW,Real Madrid,28,1993,0.1,50.0,16,0.0,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
407,Antonio Marin,CRO,FW,Dinamo Zagreb,21,2001,0.1,75.0,18,66.7,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
408,João Mário,POR,FW,Benfica,29,1993,9.6,85.3,1607,91.7,89.0,54.3,2,2.8,2.6,-0.8,15,37,15,4,56
409,João Mário Lopes,POR,DF,Porto,22,2000,3.0,75.0,309,88.1,77.4,11.1,0,0.1,0.1,-0.1,1,4,1,0,7
410,Marquinhos,BRA,DF,Paris S-G,28,1994,7.3,92.7,2123,95.4,95.6,69.4,0,0.1,0.1,-0.1,2,17,1,0,17
411,José Marsà,ESP,DF,Sporting CP,20,2002,1.1,88.9,84,100.0,100.0,60.0,0,0.0,0.0,0.0,0,1,0,0,0
412,Lautaro Martínez,ARG,FW,Inter,24,1997,11.1,70.3,664,74.1,78.1,61.9,3,1.8,1.0,1.2,18,16,7,1,28
413,Toni Martínez,ESP,FW,Porto,25,1997,1.3,52.5,55,56.0,30.0,0.0,0,0.1,0.0,-0.1,2,0,0,0,1
414,Clinton Mata,ANG,DF,Club Brugge,29,1992,1.8,76.8,606,93.2,76.7,33.3,0,0.0,0.0,0.0,1,5,1,0,8
415,Pape Matar Sarr,SEN,MF,Tottenham,19,2002,1.0,83.3,255,88.5,90.0,88.9,0,0.0,0.2,0.0,1,5,1,0,4
416,Joël Matip,CMR,DF,Liverpool,30,1991,2.7,88.6,1064,87.9,92.2,78.3,0,0.0,0.1,0.0,1,18,0,0,16
417,Rabbi Matondo,WAL,"MF,FW",Rangers,21,2000,1.1,50.0,0,64.3,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
418,Mykola Matviyenko,UKR,DF,Shakhtar,26,1996,6.0,88.5,2506,95.9,94.7,50.0,0,0.0,0.0,0.0,0,10,0,0,6
419,Philipp Max,GER,DF,Eint Frankfurt,28,1993,1.3,66.7,206,83.3,70.0,0.0,0,0.1,0.1,-0.1,1,1,2,1,5
420,Eric Maxim Choupo-Moting,CMR,FW,Bayern Munich,33,1989,4.8,73.5,195,79.7,77.4,60.0,0,0.3,0.5,-0.3,5,3,3,0,11
421,Noussair Mazraoui,MAR,DF,Bayern Munich,24,1997,4.4,83.3,1351,93.0,84.6,58.8,0,0.1,0.3,-0.1,1,29,4,0,19
422,Kylian Mbappé,FRA,FW,Paris S-G,23,1998,7.2,75.4,539,82.8,71.6,64.3,3,1.1,1.4,1.9,8,12,11,3,32
423,Chancel Mbemba,COD,DF,Marseille,27,1994,4.5,81.3,1125,90.2,84.4,63.2,1,0.3,0.3,0.7,2,16,3,1,18
424,James McCarthy,IRL,MF,Celtic,31,1990,0.1,80.0,26,100.0,75.0,0.0,0,0.0,0.0,0.0,0,2,2,0,2
425,Allan McGregor,SCO,GK,Rangers,40,1982,5.0,61.7,2479,90.0,100.0,36.0,0,0.0,0.0,0.0,0,1,0,0,0
426,Callum McGregor,SCO,MF,Celtic,29,1993,2.4,88.5,640,91.0,98.4,50.0,0,0.2,0.4,-0.2,3,21,2,0,23
427,Weston McKennie,USA,MF,Juventus,23,1998,4.0,75.7,406,80.0,78.6,80.0,0,0.0,0.1,0.0,0,8,1,0,13
428,Jon McLaughlin,SCO,GK,Rangers,34,1987,1.0,67.7,366,100.0,100.0,40.0,0,0.0,0.0,0.0,0,0,0,0,0
429,Brandon Mechele,BEL,DF,Club Brugge,29,1993,8.0,87.0,2628,84.5,95.1,67.4,0,0.0,0.0,0.0,0,14,0,0,13
430,Bjorn Meijer,NED,DF,Club Brugge,19,2003,6.4,73.4,1432,82.7,81.4,39.5,1,0.5,0.4,0.5,6,22,5,4,19
431,Raz Meir,ISR,"DF,MF",Maccabi Haifa,25,1996,0.9,81.6,127,92.0,77.8,0.0,0,0.0,0.0,0.0,0,1,1,0,1
432,Arthur Melo,BRA,MF,Liverpool,25,1996,0.2,84.6,27,80.0,100.0,100.0,0,0.0,0.0,0.0,0,1,0,0,1
433,Memphis,NED,FW,Barcelona,28,1994,0.2,87.5,58,100.0,80.0,66.7,0,0.0,0.0,0.0,0,4,1,0,3
434,Sun Menachem,ISR,DF,Maccabi Haifa,28,1993,0.7,70.0,181,77.8,78.6,50.0,0,0.0,0.0,0.0,0,1,1,0,4
435,Nuno Mendes,POR,"DF,MF",Paris S-G,20,2002,4.9,73.6,789,85.8,70.4,55.0,0,0.5,0.7,-0.5,5,8,4,2,7
436,Edouard Mendy,SEN,GK,Chelsea,30,1992,1.0,92.0,240,100.0,100.0,75.0,0,0.0,0.0,0.0,0,0,0,0,0
437,Ferland Mendy,FRA,DF,Real Madrid,27,1995,3.9,95.1,988,95.8,96.0,100.0,0,0.3,0.3,-0.3,3,27,2,1,22
438,Alex Meret,ITA,GK,Napoli,25,1997,10.0,88.3,3429,100.0,98.7,59.0,0,0.0,0.0,0.0,0,0,0,0,0
439,Lionel Messi,ARG,"FW,MF",Paris S-G,35,1987,6.8,85.2,1586,92.9,83.6,51.9,4,2.2,1.9,1.8,19,40,21,0,53
440,Junior Messias,BRA,"FW,DF",Milan,31,1991,3.5,73.1,366,85.0,80.5,38.9,0,0.4,0.5,-0.4,5,4,3,2,6
441,Thomas Meunier,BEL,DF,Dortmund,30,1991,3.9,78.0,1036,85.8,84.0,41.2,1,0.8,0.9,0.2,6,11,4,2,11
442,Alexander Meyer,GER,GK,Dortmund,31,1991,4.5,83.3,2722,100.0,100.0,61.9,0,0.0,0.0,0.0,0,2,0,0,0
443,Simon Mignolet,BEL,GK,Club Brugge,34,1988,8.0,73.1,5992,97.1,98.9,56.7,0,0.0,0.0,0.0,0,1,0,0,0
444,Arkadiusz Milik,POL,FW,Juventus,28,1994,3.8,73.6,163,80.6,78.1,44.4,0,0.5,0.2,-0.5,6,5,2,0,6
445,Éder Militão,BRA,DF,Real Madrid,24,1998,8.3,86.3,2742,93.9,90.4,63.6,0,0.0,0.1,0.0,0,25,0,0,17
446,James Milner,ENG,MF,Liverpool,36,1986,2.7,81.0,573,90.6,87.1,62.5,0,0.0,0.2,0.0,1,9,7,1,22
447,Kim Min-jae,KOR,DF,Napoli,25,1996,8.7,87.9,3721,91.8,90.1,63.3,0,0.0,0.2,0.0,1,29,1,0,36
448,Rafa Mir,ESP,"MF,FW",Sevilla,25,1997,1.7,61.8,34,72.7,50.0,50.0,0,0.0,0.0,0.0,0,0,0,0,2
449,Fabio Miretti,ITA,"MF,FW",Juventus,18,2003,2.4,69.8,283,81.4,86.2,28.6,0,0.0,0.1,0.0,0,9,5,0,15
450,Josip Mišić,CRO,MF,Dinamo Zagreb,28,1994,5.8,89.5,1473,94.6,90.7,83.3,0,0.0,0.2,0.0,1,28,4,0,29
451,Henrikh Mkhitaryan,ARM,MF,Inter,33,1989,10.1,80.2,1358,87.2,85.1,63.0,0,0.3,0.4,-0.3,6,26,7,1,42
452,Anthony Modeste,FRA,FW,Dortmund,34,1988,3.8,61.4,78,70.0,53.3,50.0,0,0.0,0.1,0.0,1,2,2,1,4
453,Luka Modrić,CRO,MF,Real Madrid,36,1985,8.3,88.0,2324,93.1,90.0,60.0,1,1.1,1.9,-0.1,9,52,13,3,52
454,Ali Mohamed,NIG,MF,Maccabi Haifa,26,1995,4.0,84.8,788,87.0,90.4,84.6,0,0.0,0.1,0.0,1,20,2,0,33
455,Kudus Mohammed,GHA,FW,Ajax,21,2000,5.0,82.9,215,84.2,85.4,90.0,3,0.3,0.2,2.7,5,9,1,0,9
456,Sadegh Moharrami,IRN,"FW,DF",Dinamo Zagreb,26,1996,4.5,80.9,894,91.6,81.2,52.4,0,0.4,0.5,-0.4,7,11,5,5,17
457,Nahuel Molina,ARG,"DF,MF",Atlético Madrid,24,1998,5.2,73.1,1555,86.2,70.1,34.3,0,0.8,0.6,-0.8,7,17,7,5,23
458,Gonzalo Montiel,ARG,DF,Sevilla,25,1997,2.5,80.3,721,93.2,79.1,44.4,0,0.2,0.2,-0.2,4,7,2,2,12
459,Aaron Mooy,AUS,MF,Celtic,31,1990,1.7,79.9,457,92.3,71.8,53.8,0,0.1,0.6,-0.1,2,13,3,1,12
460,Álvaro Morata,ESP,FW,Atlético Madrid,29,1992,3.3,66.1,114,69.2,66.7,88.9,0,0.1,0.1,-0.1,3,3,4,2,5
461,Morato,BRA,DF,Benfica,21,2001,1.2,91.7,641,94.4,95.5,91.7,0,0.0,0.0,0.0,1,9,0,0,8
462,Alfredo Morelos,COL,FW,Rangers,26,1996,2.8,65.1,120,70.4,78.9,60.0,0,0.1,0.0,-0.1,1,1,0,0,3
463,Hidemasa Morita,JPN,MF,Sporting CP,27,1995,3.7,77.9,636,82.5,86.2,77.8,1,0.2,0.1,0.8,1,9,1,0,15
464,Jhon Mosquera,COL,"FW,MF",Viktoria Plzeň,32,1990,4.8,61.4,529,75.0,71.1,30.0,1,0.4,0.4,0.6,3,9,4,3,7
465,Youssoufa Moukoko,GER,"FW,MF",Dortmund,17,2004,2.7,81.4,184,82.6,100.0,50.0,2,0.4,0.2,1.6,4,3,0,0,8
466,Mason Mount,ENG,MF,Chelsea,23,1999,4.9,79.8,1060,89.7,78.9,69.7,2,0.8,1.0,1.2,12,26,13,3,40
467,Lucas Moura,BRA,"FW,MF",Tottenham,29,1992,1.9,60.7,125,78.8,50.0,40.0,0,0.3,0.3,-0.3,3,4,1,1,4
468,Mykhailo Mudryk,UKR,"FW,DF",Chelsea,21,2001,1.0,58.3,55,78.6,33.3,100.0,0,0.1,0.1,-0.1,2,2,1,0,1
469,Mykhailo Mudryk,UKR,MF,Shakhtar,21,2001,5.7,72.1,407,88.6,64.9,27.8,2,0.7,1.1,1.3,5,4,4,1,14
470,Paul Mukairu,NGA,FW,FC Copenhagen,22,2000,0.5,66.7,2,60.0,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
471,Nordi Mukiele,FRA,"DF,MF",Paris S-G,24,1997,1.2,75.0,158,73.3,92.9,0.0,0,0.0,0.1,0.0,1,0,0,0,1
472,Thomas Müller,GER,"MF,FW",Bayern Munich,32,1989,4.1,79.9,509,86.4,74.6,71.4,1,0.3,0.3,0.7,5,8,5,0,23
473,Petar Musa,CRO,FW,Benfica,24,1998,1.4,66.7,56,68.4,70.6,0.0,0,0.1,0.2,-0.1,1,3,2,0,5
474,Jamal Musiala,GER,"MF,FW",Bayern Munich,19,2003,5.9,87.2,824,93.2,90.4,68.8,2,1.9,1.9,0.1,14,20,10,0,44
475,Bohdan Mykhaylychenko,UKR,DF,Shakhtar,25,1997,4.0,81.4,709,92.0,77.6,50.0,2,0.3,0.2,1.7,2,5,2,2,10
476,Obite N'Dicka,FRA,DF,Eint Frankfurt,22,1999,8.0,84.0,2128,90.9,87.4,41.2,1,0.1,0.1,0.9,1,19,0,0,15
477,Nacho,ESP,DF,Real Madrid,32,1990,4.9,91.1,1471,92.5,93.8,72.7,0,0.1,0.1,-0.1,5,17,2,0,14
478,Jesús Navas,ESP,"DF,MF",Sevilla,36,1985,2.5,75.9,375,89.6,79.2,36.4,0,0.1,0.2,-0.1,1,2,3,1,5
479,Flávio Nazinho,POR,"DF,MF",Sporting CP,19,2003,1.3,63.6,56,66.7,66.7,0.0,0,0.0,0.0,0.0,1,1,0,0,0
480,Tanguy Ndombele,FRA,MF,Napoli,25,1996,4.1,86.8,864,94.1,87.1,50.0,1,1.4,0.8,-0.4,9,16,8,1,25
481,David Neres,BRA,"FW,MF",Benfica,25,1997,4.9,72.9,600,84.8,76.1,57.9,1,1.2,1.6,-0.2,7,19,14,3,23
482,Luís Neto,POR,DF,Sporting CP,34,1988,0.4,94.4,258,100.0,100.0,66.7,0,0.0,0.0,0.0,0,0,0,0,1
483,Manuel Neuer,GER,GK,Bayern Munich,36,1986,3.0,81.0,1808,100.0,96.4,63.0,0,0.0,0.0,0.0,0,0,0,0,0
484,João Neves,POR,"FW,MF",Benfica,17,2004,0.3,88.1,101,86.4,92.3,75.0,1,0.1,0.0,0.9,1,2,1,0,2
485,Neymar,BRA,"MF,FW",Paris S-G,30,1992,6.0,81.6,1506,87.9,84.7,57.1,2,1.6,1.4,0.4,16,38,25,1,57
486,Tanguy Nianzou,FRA,DF,Sevilla,20,2002,2.0,90.5,587,97.0,91.8,66.7,0,0.4,0.0,-0.4,1,2,0,0,6
487,Casper Nielsen,DEN,MF,Club Brugge,28,1994,7.2,65.8,648,72.7,75.8,48.5,1,0.6,0.7,0.4,3,14,3,1,19
488,Saúl Ñíguez,ESP,"MF,DF",Atlético Madrid,27,1994,3.1,79.7,418,85.9,83.7,50.0,0,0.1,0.3,-0.1,2,10,1,1,11
489,Christopher Nkunku,FRA,"MF,FW",RB Leipzig,24,1997,6.2,90.6,709,93.2,93.1,90.9,1,2.5,1.3,-1.5,10,15,10,1,23
490,Hugo Novoa,ESP,MF,RB Leipzig,19,2003,0.0,75.0,2,100.0,0.0,100.0,0,0.0,0.0,0.0,0,0,0,0,1
491,Darwin Núñez,URU,FW,Liverpool,23,1999,4.4,63.3,115,73.3,57.1,33.3,1,0.1,0.1,0.9,1,2,1,0,5
492,Antonio Nusa,NOR,FW,Club Brugge,17,2005,0.6,83.3,29,83.3,80.0,0.0,0,0.0,0.0,0.0,1,1,1,0,2
493,Matt O'Riley,DEN,MF,Celtic,21,2000,5.3,81.8,995,85.6,86.0,71.4,0,0.5,0.6,-0.5,2,18,9,2,30
494,Jan Oblak,SVN,GK,Atlético Madrid,29,1993,5.0,69.9,1716,100.0,97.6,40.7,0,0.0,0.0,0.0,0,1,0,0,0
495,Lucas Ocampos,ARG,FW,Ajax,28,1994,0.2,84.6,5,100.0,83.3,0.0,0,0.0,0.0,0.0,0,0,0,0,0
496,Oleh Ocheretko,UKR,MF,Shakhtar,19,2003,0.2,66.7,14,100.0,66.7,50.0,0,0.0,0.0,0.0,0,0,0,0,1
497,Denis Odoi,GHA,"DF,MF",Club Brugge,34,1988,5.8,80.4,1576,86.0,88.2,64.3,0,0.1,0.1,-0.1,1,30,0,0,29
498,Noah Okafor,SUI,FW,RB Salzburg,22,2000,5.2,68.5,143,77.1,69.6,60.0,0,0.5,0.2,-0.5,6,4,3,0,7
499,Mathías Olivera,URU,DF,Napoli,24,1997,5.7,83.3,1534,91.3,87.0,35.0,2,0.7,0.6,1.3,11,35,2,1,2
500,Dani Olmo,ESP,"FW,MF",RB Leipzig,24,1998,0.7,56.3,122,58.3,41.7,83.3,0,0.1,0.1,-0.1,2,2,2,1,3
501,André Onana,CMR,GK,Inter,26,1996,13.0,77.5,8251,100.0,98.3,55.1,0,0.0,0.0,0.0,0,12,0,0,0
502,Raphael Onyedika,NGA,MF,Club Brugge,21,2001,6.3,84.7,975,85.7,93.1,71.4,0,0.1,0.1,-0.1,2,14,1,0,19
503,Willi Orban,HUN,DF,RB Leipzig,29,1992,8.0,88.8,2946,91.7,94.5,71.6,0,0.1,0.1,-0.1,2,29,2,0,33
504,Divock Origi,BEL,FW,Milan,27,1995,1.7,70.2,110,79.2,73.3,0.0,0,0.2,0.1,-0.2,1,1,2,0,4
505,Mislav Oršić,CRO,FW,Dinamo Zagreb,29,1992,5.4,70.3,531,84.8,70.6,40.0,0,0.3,0.4,-0.3,4,8,7,1,15
506,Stefan Ortega,GER,GK,Manchester City,29,1992,2.0,96.2,779,100.0,100.0,81.8,0,0.0,0.0,0.0,0,0,0,0,0
507,Victor Osimhen,NGA,FW,Napoli,23,1998,4.7,66.7,109,60.0,73.3,75.0,0,0.5,0.3,-0.5,3,5,3,1,7
508,Nicolás Otamendi,ARG,DF,Benfica,34,1988,8.8,89.4,3540,91.5,95.3,77.7,1,0.6,0.7,0.4,5,18,1,0,24
509,Otávio,POR,MF,Porto,27,1995,5.8,76.0,1400,88.7,78.6,64.3,2,1.5,1.0,0.5,14,25,9,2,32
510,Alex Oxlade-Chamberlain,ENG,MF,Liverpool,28,1993,0.2,81.8,21,100.0,100.0,50.0,0,0.0,0.1,0.0,0,1,0,0,0
511,Salih Özcan,TUR,MF,Dortmund,24,1998,6.0,85.6,972,89.1,90.3,59.1,1,0.8,0.3,0.2,6,18,4,0,22
512,Exequiel Palacios,ARG,MF,Leverkusen,23,1998,1.0,77.2,317,86.1,82.8,54.5,0,0.0,0.1,0.0,1,4,1,1,7
513,Cole Palmer,ENG,"MF,FW",Manchester City,20,2002,1.5,85.7,88,90.0,91.3,85.7,0,0.0,0.1,0.0,0,4,1,1,4
514,Antonios Papadopoulos,GER,"MF,FW",Dortmund,22,1999,0.1,33.3,10,50.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
515,Leandro Paredes,ARG,MF,Juventus,28,1994,3.9,89.2,1574,92.9,94.8,73.3,1,0.2,0.6,0.8,6,33,2,0,29
516,Felix Passlack,GER,DF,Dortmund,24,1998,1.0,82.6,220,88.0,79.4,85.7,1,0.0,0.0,1.0,0,3,1,0,8
517,Remko Pasveer,NED,GK,Ajax,38,1983,6.0,66.1,3163,100.0,96.4,31.0,0,0.0,0.0,0.0,0,1,0,0,0
518,Paulinho,POR,FW,Sporting CP,29,1992,2.6,75.3,210,77.5,77.3,84.6,0,0.1,0.1,-0.1,2,5,0,0,10
519,Paulinho,BRA,FW,Leverkusen,22,2000,0.5,76.5,47,90.9,50.0,0.0,0,0.1,0.0,-0.1,1,1,1,0,2
520,Benjamin Pavard,FRA,DF,Bayern Munich,26,1996,6.6,90.3,3418,93.8,92.1,73.3,0,0.2,0.5,-0.2,2,52,3,1,53
521,Strahinja Pavlović,SRB,DF,RB Salzburg,21,2001,6.0,69.9,1189,82.2,75.9,32.3,0,0.2,0.0,-0.2,2,10,0,0,20
522,Dimitri Payet,FRA,MF,Marseille,35,1987,0.9,79.3,189,90.0,81.3,66.7,0,0.1,0.1,-0.1,1,6,2,1,9
523,Pedri,ESP,"MF,FW",Barcelona,19,2002,4.5,88.2,1008,91.3,90.9,86.5,0,0.8,0.7,-0.8,8,34,12,0,35
524,Luca Pellegrini,ITA,"DF,MF",Eint Frankfurt,23,1999,2.2,66.1,512,95.7,61.4,31.3,0,0.1,0.1,-0.1,2,4,2,0,10
525,Iñaki Peña,ESP,GK,Barcelona,23,1999,1.0,94.9,487,100.0,100.0,60.0,0,0.0,0.0,0.0,0,0,0,0,0
526,Pepe,POR,DF,Porto,39,1983,4.0,82.2,1114,90.9,90.9,53.7,0,0.0,0.1,0.0,0,8,1,0,10
527,Pepê,BRA,"DF,FW",Porto,25,1997,7.6,77.0,1477,80.4,83.2,65.5,0,1.2,1.2,-1.2,9,20,14,4,32
528,Danilo Pereira,POR,"DF,MF",Paris S-G,30,1991,5.0,93.5,1600,95.0,94.7,90.3,0,0.0,0.2,0.0,0,13,0,0,19
529,Dino Perić,CRO,DF,Dinamo Zagreb,28,1994,6.0,85.5,1807,90.7,86.1,58.3,0,0.1,0.3,-0.1,2,5,2,0,15
530,Mattia Perin,ITA,GK,Juventus,29,1992,2.0,83.6,813,100.0,100.0,52.6,0,0.0,0.0,0.0,0,2,0,0,0
531,Ivan Perišić,CRO,"DF,MF",Tottenham,33,1989,6.4,66.5,1112,76.9,73.6,47.2,3,1.3,1.8,1.7,10,11,8,5,22
532,Luděk Pernica,CZE,DF,Viktoria Plzeň,32,1990,5.5,87.1,1377,89.1,91.9,77.8,0,0.0,0.0,0.0,0,4,1,0,6
