,Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Clearances,Errors
242,Diogo Gonçalves, POR,"FW,MF",Benfica,25,1997,0.4,1,0,1,1,100.0,0,0,0,0,0,0,0
243,Pedro Gonçalves, POR,"MF,FW",Sporting CP,24,1998,4.0,8,4,5,7,71.4,2,5,0,5,3,0,0
244,Leon Goretzka, GER,MF,Bayern Munich,27,1995,6.7,16,9,6,17,35.3,11,13,3,10,7,7,1
245,Robin Gosens, GER,DF,Inter,28,1994,4.7,20,13,10,14,71.4,4,1,0,1,5,10,0
246,Mario Götze, GER,"MF,FW",Eint Frankfurt,30,1992,5.8,7,3,4,12,33.3,8,5,1,4,3,2,0
247,Lucas Gourna-Douath, FRA,MF,RB Salzburg,18,2003,3.5,12,6,5,9,55.6,4,3,0,3,4,1,0
248,Kamil Grabara, POL,GK,FC Copenhagen,23,1999,4.0,0,0,0,1,0.0,1,0,0,0,0,1,0
249,Ryan Gravenberch, NED,MF,Bayern Munich,20,2002,2.8,6,5,2,3,66.7,1,2,1,1,3,3,0
250,Ivo Grbić, CRO,GK,Atlético Madrid,26,1996,1.0,0,0,0,1,0.0,1,0,0,0,0,0,0
251,Jack Grealish, ENG,FW,Manchester City,26,1995,10.4,8,5,5,13,38.5,8,10,3,7,4,6,0
252,Antoine Griezmann, FRA,"FW,MF",Atlético Madrid,31,1991,4.5,7,5,4,7,57.1,3,5,1,4,2,1,0
253,Florian Grillitsch, AUT,MF,Ajax,26,1995,0.7,1,1,1,6,16.7,5,1,0,1,0,0,0
254,Álex Grimaldo, ESP,DF,Benfica,26,1995,10.0,25,10,16,33,48.5,17,13,4,9,13,17,0
255,Marko Grujić, SRB,MF,Porto,26,1996,3.1,5,5,2,3,66.7,1,4,1,3,4,11,0
256,Nemanja Gudelj, SRB,"DF,MF",Sevilla,30,1991,5.5,3,2,1,8,12.5,7,4,2,2,2,14,0
257,Gonçalo Guedes, POR,"FW,MF",Benfica,25,1996,0.5,0,0,0,0,0.0,0,0,0,0,0,1,0
258,Mattéo Guendouzi, FRA,MF,Marseille,23,1999,4.6,4,3,3,5,60.0,2,3,2,1,6,1,0
259,Raphaël Guerreiro, POR,DF,Dortmund,28,1993,5.3,7,4,1,4,25.0,3,5,2,3,10,10,0
260,Pape Gueye, SEN,MF,Marseille,23,1999,0.4,1,0,0,0,0.0,0,0,0,0,1,0,0
261,Péter Gulácsi, HUN,GK,RB Leipzig,32,1990,2.1,0,0,0,0,0.0,0,0,0,0,0,0,2
262,İlkay Gündoğan, GER,MF,Manchester City,31,1990,11.0,12,8,4,12,33.3,8,8,1,7,7,6,0
263,Joško Gvardiol, CRO,DF,RB Leipzig,20,2002,6.0,9,6,4,10,40.0,6,3,2,1,4,25,1
264,Erling Haaland, NOR,FW,Manchester City,22,2000,9.3,1,0,1,2,50.0,1,5,0,5,2,3,0
265,Amadou Haidara, MLI,MF,RB Leipzig,24,1998,3.8,12,9,4,5,80.0,1,5,1,4,10,4,0
266,Achraf Hakimi, MAR,"DF,MF",Paris S-G,23,1998,6.4,9,6,3,12,25.0,9,2,0,2,8,7,0
267,Sead Haksabanović, MNE,"MF,FW",Celtic,23,1999,2.5,5,3,5,5,100.0,0,2,0,2,2,1,0
268,Sébastien Haller, CIV,FW,Dortmund,28,1994,1.6,0,0,0,0,0.0,0,1,0,1,0,0,0
269,Marcel Halstenberg, GER,DF,RB Leipzig,30,1991,1.9,1,0,0,3,0.0,3,2,0,2,6,2,0
270,Amine Harit, MAR,MF,Marseille,25,1997,4.2,1,0,1,2,50.0,1,3,1,2,3,1,0
271,Joe Hart, ENG,GK,Celtic,35,1987,6.0,0,0,0,0,0.0,0,0,0,0,1,1,1
272,Makoto Hasebe, JPN,DF,Eint Frankfurt,38,1984,2.9,2,2,1,2,50.0,1,7,2,5,2,9,0
273,Reo Hatate, JPN,MF,Celtic,24,1997,5.0,5,1,2,3,66.7,1,4,0,4,3,5,0
274,Milan Havel, CZE,DF,Viktoria Plzeň,27,1994,4.7,12,5,7,8,87.5,1,6,0,6,4,12,0
275,Kai Havertz, GER,"FW,MF",Chelsea,23,1999,6.9,6,3,1,7,14.3,6,9,1,8,1,4,0
276,Eden Hazard, BEL,"FW,MF",Real Madrid,31,1991,1.5,0,0,0,1,0.0,1,1,0,1,1,0,0
277,Thorgan Hazard, BEL,"DF,FW",Dortmund,29,1993,2.2,3,1,3,6,50.0,3,3,1,2,3,3,0
278,Dolev Haziz, ISR,DF,Maccabi Haifa,27,1995,2.3,7,5,4,7,57.1,3,0,0,0,2,3,0
279,Lukáš Hejda, CZE,DF,Viktoria Plzeň,32,1990,5.7,8,3,1,2,50.0,1,9,7,2,7,22,0
280,Jordan Henderson, ENG,MF,Liverpool,32,1990,3.1,7,2,4,7,57.1,3,2,0,2,3,1,0
281,Jack Hendry, SCO,DF,Club Brugge,27,1995,1.0,1,1,0,0,0.0,0,0,0,0,0,4,0
282,Benjamin Henrichs, GER,"DF,MF",RB Leipzig,25,1997,2.2,5,2,5,9,55.6,4,2,1,1,3,4,0
283,Mario Hermoso, ESP,DF,Atlético Madrid,27,1995,1.8,1,1,1,3,33.3,2,2,1,1,2,9,0
284,Lucas Hernández, FRA,DF,Bayern Munich,26,1996,1.9,3,2,2,3,66.7,1,3,2,1,8,2,0
285,Theo Hernández, FRA,DF,Milan,24,1997,10.5,27,16,10,18,55.6,8,7,2,5,6,21,2
286,Son Heung-min, KOR,"MF,FW",Tottenham,30,1992,6.9,10,4,2,8,25.0,6,2,0,2,1,3,0
287,Piero Hincapié, ECU,DF,Leverkusen,20,2002,5.0,19,11,11,15,73.3,4,4,2,2,6,14,0
288,Adam Hložek, CZE,"MF,FW",Leverkusen,20,2002,3.1,2,2,0,3,0.0,3,2,0,2,0,7,0
289,Libor Holík, CZE,DF,Viktoria Plzeň,24,1998,3.2,5,1,4,8,50.0,4,2,0,2,4,10,0
290,Lukáš Hrádecký, FIN,GK,Leverkusen,32,1989,6.0,0,0,0,0,0.0,0,0,0,0,0,1,1
291,Callum Hudson-Odoi, ENG,FW,Leverkusen,21,2000,5.1,2,1,2,4,50.0,2,0,0,0,3,1,0
292,Mats Hummels, GER,DF,Dortmund,33,1988,3.5,8,5,4,9,44.4,5,10,5,5,7,17,0
293,Pierre Højbjerg, DEN,MF,Tottenham,26,1995,6.9,12,8,9,20,45.0,11,7,4,3,11,6,0
294,Samuel Iling-Junior, ENG,DF,Juventus,18,2003,0.2,0,0,0,1,0.0,1,0,0,0,1,1,0
295,Gonçalo Inácio, POR,DF,Sporting CP,20,2001,6.0,4,1,2,6,33.3,4,7,3,4,5,21,0
296,Isco, ESP,"MF,FW",Sevilla,30,1992,4.4,6,3,3,11,27.3,8,2,0,2,5,1,0
297,Franco Israel, URU,GK,Sporting CP,22,2000,1.7,0,0,0,0,0.0,0,0,0,0,0,0,1
298,Luka Ivanušec, CRO,MF,Dinamo Zagreb,23,1998,5.8,7,2,3,7,42.9,4,3,1,2,6,1,0
299,Ryan Jack, SCO,MF,Rangers,30,1992,2.1,4,3,2,2,100.0,0,1,1,0,1,1,1
300,Kristijan Jakić, CRO,DF,Eint Frankfurt,25,1997,6.8,20,9,11,23,47.8,12,7,3,4,3,18,2
301,Reece James, ENG,"DF,MF",Chelsea,22,1999,7.7,14,8,6,15,40.0,9,13,1,12,7,11,0
302,Adnan Januzaj, BEL,"FW,MF",Sevilla,27,1995,0.6,2,1,1,1,100.0,0,0,0,0,1,1,0
303,Luis Javier Suárez, COL,FW,Marseille,24,1997,1.3,1,0,1,1,100.0,0,2,0,2,0,1,0
304,Elias Jelert, DEN,"DF,MF",FC Copenhagen,19,2003,2.1,4,2,1,4,25.0,3,0,0,0,1,1,0
305,Václav Jemelka, CZE,DF,Viktoria Plzeň,27,1995,4.0,12,7,4,10,40.0,6,7,3,4,5,12,0
306,Valdemar Jensen, DEN,DF,FC Copenhagen,19,2003,3.4,5,5,3,5,60.0,2,5,4,1,5,5,0
307,Moritz Jenz, GER,DF,Celtic,23,1999,6.0,8,4,4,8,50.0,4,16,11,5,8,15,1
308,Juan Jesus, BRA,DF,Napoli,31,1991,2.3,3,1,0,1,0.0,1,5,5,0,1,6,0
309,Erik Jirka, SVK,"FW,MF",Viktoria Plzeň,24,1997,3.0,2,0,1,3,33.3,2,2,1,1,7,5,0
310,Ísak Jóhannesson, ISL,"FW,MF",FC Copenhagen,19,2003,3.2,4,0,3,4,75.0,1,5,0,5,2,3,0
311,Curtis Jones, ENG,"FW,MF",Liverpool,21,2001,1.1,2,0,1,1,100.0,0,3,0,3,1,0,0
312,Frenkie de Jong, NED,MF,Barcelona,25,1997,2.6,4,3,1,3,33.3,2,5,1,4,3,2,0
313,Joan Jordán, ESP,MF,Sevilla,28,1994,2.9,4,2,2,5,40.0,3,6,3,3,4,2,1
314,Jorginho, ITA,MF,Chelsea,30,1991,4.6,14,6,5,7,71.4,2,13,0,13,11,6,0
315,Jota, POR,FW,Celtic,23,1999,3.2,1,0,0,3,0.0,3,3,0,3,3,0,0
316,Diogo Jota, POR,"FW,MF",Liverpool,25,1996,2.9,3,2,1,2,50.0,1,2,0,2,0,1,0
317,Vinicius Júnior, BRA,FW,Real Madrid,22,2000,10.8,10,7,4,12,33.3,8,8,0,8,1,1,0
318,Josip Juranović, CRO,DF,Celtic,26,1995,6.0,12,7,9,11,81.8,2,4,2,2,5,9,0
319,Jutglà, ESP,FW,Club Brugge,23,1999,5.7,2,1,0,1,0.0,1,3,0,3,0,2,0
320,Issa Kaboré, BFA,DF,Marseille,21,2001,1.3,4,3,1,2,50.0,1,1,0,1,0,0,0
321,Pierre Kalulu, FRA,DF,Milan,22,2000,8.3,15,8,4,9,44.4,5,12,6,6,7,17,0
322,Lukáš Kalvach, CZE,MF,Viktoria Plzeň,27,1995,5.5,13,5,4,16,25.0,12,9,0,9,14,5,0
323,Daichi Kamada, JPN,"MF,FW",Eint Frankfurt,25,1996,7.7,17,9,11,19,57.9,8,9,3,6,9,7,0
324,Glen Kamara, FIN,MF,Rangers,26,1995,1.4,0,0,0,1,0.0,1,2,1,1,4,1,1
325,Dijon Kameri, KVX,MF,RB Salzburg,18,2004,1.3,4,2,4,6,66.7,2,1,0,1,1,0,0
326,Kevin Kampl, SVN,MF,RB Leipzig,31,1990,3.0,8,6,2,3,66.7,1,1,0,1,3,2,1
327,Harry Kane, ENG,FW,Tottenham,29,1993,8.0,1,0,0,3,0.0,3,2,1,1,2,6,0
328,N'Golo Kanté, FRA,MF,Chelsea,31,1991,1.8,3,2,2,4,50.0,2,2,0,2,2,0,0
329,Mamoudou Karamoko, FRA,FW,FC Copenhagen,22,1999,0.5,0,0,0,0,0.0,0,0,0,0,0,1,0
330,Moise Kean, ITA,"FW,MF",Juventus,22,2000,1.2,1,1,0,0,0.0,0,1,0,1,0,0,0
331,Ryan Kent, ENG,"FW,MF",Rangers,25,1996,5.6,6,3,1,3,33.3,2,4,0,4,1,0,0
332,Franck Kessié, CIV,MF,Barcelona,25,1996,3.0,6,2,2,3,66.7,1,2,0,2,2,0,0
333,Davit Khocholava, GEO,DF,FC Copenhagen,29,1993,4.8,2,1,2,3,66.7,1,4,3,1,10,21,0
334,Joshua Kimmich, GER,MF,Bayern Munich,27,1995,9.0,19,11,8,27,29.6,19,18,5,13,20,7,0
335,Presnel Kimpembe, FRA,DF,Paris S-G,26,1995,1.6,2,2,0,0,0.0,0,1,0,1,2,2,0
336,Leon King, SCO,DF,Rangers,18,2004,4.2,10,5,3,11,27.3,8,5,2,3,5,12,0
337,Simon Kjær, DEN,DF,Milan,33,1989,5.6,6,4,5,8,62.5,3,10,5,5,6,24,0
338,Maurits Kjærgaard, DEN,MF,RB Salzburg,19,2003,5.5,21,11,9,18,50.0,9,10,2,8,4,2,0
339,Davy Klaassen, NED,MF,Ajax,29,1993,2.4,0,0,0,4,0.0,4,1,0,1,0,2,0
340,Jan Kliment, CZE,FW,Viktoria Plzeň,28,1993,0.5,0,0,0,1,0.0,1,0,0,0,0,1,0
341,Lukas Klostermann, GER,DF,RB Leipzig,26,1996,0.6,3,1,2,2,100.0,0,3,1,2,0,0,0
342,Ansgar Knauff, GER,"DF,FW",Eint Frankfurt,20,2002,3.3,9,6,0,6,0.0,6,3,1,2,6,1,0
343,Gregor Kobel, SUI,GK,Dortmund,24,1997,3.5,0,0,0,0,0.0,0,0,0,0,0,1,0
344,Philipp Köhn, SUI,GK,RB Salzburg,24,1998,6.0,1,0,1,1,100.0,0,0,0,0,0,1,0
345,Sekou Koita, MLI,FW,RB Salzburg,22,1999,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0
346,Koke, ESP,MF,Atlético Madrid,30,1992,3.7,2,1,0,3,0.0,3,2,1,1,1,0,0
347,Sead Kolašinac, BIH,DF,Marseille,29,1993,1.7,5,3,3,4,75.0,1,1,0,1,1,3,0
348,Randal Kolo Muani, FRA,FW,Eint Frankfurt,23,1998,5.7,4,4,0,0,0.0,0,4,2,2,2,0,0
349,Ibrahima Konaté, FRA,DF,Liverpool,23,1999,2.9,6,5,3,3,100.0,0,4,3,1,1,11,0
350,Geoffrey Kondogbia, CTA,MF,Atlético Madrid,29,1993,2.5,8,4,5,5,100.0,0,4,0,4,7,2,0
351,Yukhym Konoplia, UKR,DF,Shakhtar,22,1999,4.6,10,7,5,11,45.5,6,8,1,7,2,12,1
352,Jan Kopic, CZE,"FW,MF",Viktoria Plzeň,32,1990,0.9,1,1,1,3,33.3,2,1,0,1,1,0,0
353,Odilon Kossonou, CIV,DF,Leverkusen,21,2001,4.8,10,6,5,5,100.0,0,3,1,2,4,20,0
354,Filip Kostić, SRB,"DF,FW",Juventus,29,1992,4.8,8,4,6,16,37.5,10,3,1,2,0,4,0
355,Kalidou Koulibaly, SEN,DF,Chelsea,31,1991,6.3,12,7,7,11,63.6,4,17,6,11,8,21,0
356,Jules Koundé, FRA,DF,Barcelona,23,1998,2.7,7,3,7,8,87.5,1,1,1,0,3,2,0
357,Mateo Kovačić, CRO,MF,Chelsea,28,1994,6.9,11,5,8,16,50.0,8,8,1,7,6,2,0
358,Adam Kronus, CZE,FW,Viktoria Plzeň,20,2002,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0
359,Toni Kroos, GER,MF,Real Madrid,32,1990,9.4,26,16,11,18,61.1,7,7,2,5,9,2,0
360,Rade Krunić, BIH,"MF,FW",Milan,28,1993,9.1,17,11,7,21,33.3,14,15,8,7,7,8,1
361,Dmytro Kryskiv, UKR,MF,Shakhtar,21,2000,0.1,0,0,0,1,0.0,1,0,0,0,0,0,0
362,Serhiy Kryvtsov, UKR,DF,Shakhtar,31,1991,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
363,Dejan Kulusevski, SWE,"MF,DF",Tottenham,22,2000,2.2,5,3,2,4,50.0,2,4,0,4,1,0,0
364,Khvicha Kvaratskhelia, GEO,FW,Napoli,21,2001,7.7,12,10,8,17,47.1,9,6,0,6,2,5,0
365,Konrad Laimer, AUT,"MF,FW",RB Leipzig,25,1997,2.9,10,6,3,12,25.0,9,4,0,4,2,2,0
366,Érik Lamela, ARG,"FW,MF",Sevilla,30,1992,3.1,4,1,2,3,66.7,1,6,0,6,2,0,0
367,Noa Lang, NED,FW,Club Brugge,23,1999,3.2,7,3,1,4,25.0,3,3,0,3,0,1,0
368,Aymeric Laporte, ESP,DF,Manchester City,28,1994,3.2,0,0,0,2,0.0,2,0,0,0,3,4,0
369,Cyle Larin, CAN,"FW,MF",Club Brugge,27,1995,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
370,Rasmus Lauritsen, DEN,DF,Dinamo Zagreb,26,1996,0.2,0,0,0,0,0.0,0,0,0,0,1,1,0
371,Neta Lavi, ISR,MF,Maccabi Haifa,25,1996,5.2,23,17,7,20,35.0,13,5,0,5,9,6,0
372,Rafael Leão, POR,"FW,MF",Milan,23,1999,10.1,3,2,1,1,100.0,0,2,0,2,3,7,0
373,Thomas Lemar, FRA,MF,Atlético Madrid,26,1995,1.2,1,1,0,1,0.0,1,2,0,2,1,0,0
374,Clément Lenglet, FRA,DF,Tottenham,27,1995,5.6,15,8,6,8,75.0,2,6,3,3,7,16,0
375,Christopher Lenz, GER,DF,Eint Frankfurt,27,1994,2.5,6,2,4,6,66.7,2,4,0,4,4,4,0
376,Lukas Lerager, DEN,MF,FC Copenhagen,29,1993,5.0,8,4,3,9,33.3,6,6,0,6,14,5,0
377,Robert Lewandowski, POL,FW,Barcelona,33,1988,4.9,5,4,1,1,100.0,0,3,0,3,1,6,0
378,Rico Lewis, ENG,DF,Manchester City,17,2004,1.3,1,1,0,0,0.0,0,2,1,1,0,0,0
379,Matthijs de Ligt, NED,DF,Bayern Munich,22,1999,6.8,5,3,1,3,33.3,2,6,4,2,10,21,0
380,Jesper Lindstrøm, DEN,"MF,FW",Eint Frankfurt,22,2000,5.6,4,2,1,5,20.0,4,11,0,11,2,1,0
381,Dominik Livaković, CRO,GK,Dinamo Zagreb,27,1995,6.0,0,0,0,0,0.0,0,0,0,0,0,4,0
382,Robert Ljubicic, AUT,"FW,DF",Dinamo Zagreb,23,1999,6.0,13,6,7,18,38.9,11,10,1,9,10,7,0
383,Marcos Llorente, ESP,"MF,FW",Atlético Madrid,27,1995,2.4,2,1,1,1,100.0,0,3,0,3,2,3,0
384,Hugo Lloris, FRA,GK,Tottenham,35,1986,6.0,0,0,0,0,0.0,0,0,0,0,1,2,0
385,Danny Loader, ENG,"FW,MF",Porto,21,2000,0.6,2,2,1,1,100.0,0,0,0,0,0,0,0
386,Stanislav Lobotka, SVK,MF,Napoli,27,1994,9.7,21,11,11,20,55.0,9,7,2,5,5,3,1
387,Manuel Locatelli, ITA,MF,Juventus,24,1998,2.5,9,5,4,6,66.7,2,6,0,6,2,2,0
388,Ruben Loftus-Cheek, ENG,MF,Chelsea,26,1996,3.2,7,4,2,3,66.7,1,5,2,3,7,3,0
389,Pau López, ESP,GK,Marseille,27,1994,6.0,0,0,0,0,0.0,0,0,0,0,0,1,0
390,Alexander lowry, SCO,MF,Rangers,19,2003,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
391,Hirving Lozano, MEX,FW,Napoli,27,1995,5.2,10,6,5,11,45.5,6,7,0,7,2,3,0
392,Florentino Luís, POR,MF,Benfica,22,1999,9.5,26,15,9,31,29.0,22,11,1,10,27,15,0
393,Romelu Lukaku, BEL,FW,Inter,29,1993,2.1,3,3,1,1,100.0,0,1,0,1,0,3,0
394,John Lundstram, ENG,"MF,DF",Rangers,28,1994,5.0,6,3,5,15,33.3,10,4,1,3,9,12,0
395,Andriy Lunin, UKR,GK,Real Madrid,23,1999,2.0,0,0,0,0,0.0,0,0,0,0,0,1,0
396,Mahir Madatov, AZE,FW,Dinamo Zagreb,25,1997,0.2,0,0,0,0,0.0,0,0,0,0,0,1,0
397,Daizen Maeda, JPN,FW,Celtic,24,1997,3.7,7,3,1,4,25.0,3,9,2,7,7,1,0
398,Riyad Mahrez, ALG,"FW,MF",Manchester City,31,1991,5.6,9,5,5,9,55.6,4,1,0,1,1,1,0
399,Mike Maignan, FRA,GK,Milan,27,1995,7.0,0,0,0,0,0.0,0,0,0,0,0,3,0
400,Donyell Malen, NED,"FW,MF",Dortmund,23,1999,2.8,1,0,0,0,0.0,0,3,0,3,2,1,0
401,Reinildo Mandava, MOZ,DF,Atlético Madrid,28,1994,5.7,11,8,9,10,90.0,1,8,1,7,5,7,0
402,Sadio Mané, SEN,FW,Bayern Munich,30,1992,6.1,10,6,4,5,80.0,1,10,1,9,4,2,0
403,Iván Marcano, ESP,DF,Porto,35,1987,3.0,2,1,1,4,25.0,3,6,4,2,4,12,0
404,Marcão, BRA,DF,Sevilla,26,1996,2.5,7,5,5,6,83.3,1,7,2,5,1,9,0
405,José María Giménez, URU,DF,Atlético Madrid,27,1995,4.5,6,3,4,7,57.1,3,3,2,1,6,20,0
406,Mariano, DOM,FW,Real Madrid,28,1993,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
407,Antonio Marin, CRO,FW,Dinamo Zagreb,21,2001,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
408,João Mário, POR,FW,Benfica,29,1993,9.6,12,8,6,17,35.3,11,7,0,7,5,8,0
409,João Mário Lopes, POR,DF,Porto,22,2000,3.0,8,4,4,7,57.1,3,4,2,2,3,5,1
410,Marquinhos, BRA,DF,Paris S-G,28,1994,7.3,5,3,4,7,57.1,3,7,4,3,3,20,0
411,José Marsà, ESP,DF,Sporting CP,20,2002,1.1,1,0,0,1,0.0,1,1,0,1,1,6,0
412,Lautaro Martínez, ARG,FW,Inter,24,1997,11.1,16,12,6,14,42.9,8,12,1,11,9,8,0
413,Toni Martínez, ESP,FW,Porto,25,1997,1.3,7,4,2,2,100.0,0,1,0,1,0,0,0
414,Clinton Mata, ANG,DF,Club Brugge,29,1992,1.8,1,1,1,4,25.0,3,2,0,2,4,2,1
415,Pape Matar Sarr, SEN,MF,Tottenham,19,2002,1.0,5,3,2,3,66.7,1,1,0,1,1,0,0
416,Joël Matip, CMR,DF,Liverpool,30,1991,2.7,8,3,5,6,83.3,1,0,0,0,3,3,0
417,Rabbi Matondo, WAL,"MF,FW",Rangers,21,2000,1.1,1,1,0,1,0.0,1,1,0,1,2,0,0
418,Mykola Matviyenko, UKR,DF,Shakhtar,26,1996,6.0,10,4,6,9,66.7,3,13,4,9,9,35,0
419,Philipp Max, GER,DF,Eint Frankfurt,28,1993,1.3,1,1,1,4,25.0,3,3,0,3,1,1,0
420,Eric Maxim Choupo-Moting, CMR,FW,Bayern Munich,33,1989,4.8,7,4,0,1,0.0,1,6,0,6,1,2,0
421,Noussair Mazraoui, MAR,DF,Bayern Munich,24,1997,4.4,13,9,7,11,63.6,4,3,1,2,3,11,0
422,Kylian Mbappé, FRA,FW,Paris S-G,23,1998,7.2,0,0,0,1,0.0,1,0,0,0,0,3,0
423,Chancel Mbemba, COD,DF,Marseille,27,1994,4.5,14,6,5,5,100.0,0,4,1,3,4,6,0
424,James McCarthy, IRL,MF,Celtic,31,1990,0.1,0,0,0,0,0.0,0,0,0,0,0,1,0
425,Allan McGregor, SCO,GK,Rangers,40,1982,5.0,0,0,0,0,0.0,0,0,0,0,0,2,0
426,Callum McGregor, SCO,MF,Celtic,29,1993,2.4,3,1,2,5,40.0,3,2,0,2,5,4,0
427,Weston McKennie, USA,MF,Juventus,23,1998,4.0,6,3,4,7,57.1,3,10,2,8,5,3,0
428,Jon McLaughlin, SCO,GK,Rangers,34,1987,1.0,0,0,0,1,0.0,1,0,0,0,0,0,0
429,Brandon Mechele, BEL,DF,Club Brugge,29,1993,8.0,11,7,3,9,33.3,6,7,5,2,11,38,0
430,Bjorn Meijer, NED,DF,Club Brugge,19,2003,6.4,9,9,4,10,40.0,6,11,4,7,11,11,1
431,Raz Meir, ISR,"DF,MF",Maccabi Haifa,25,1996,0.9,4,3,3,3,100.0,0,1,0,1,0,0,0
432,Arthur Melo, BRA,MF,Liverpool,25,1996,0.2,1,0,1,1,100.0,0,0,0,0,0,0,0
433,Memphis, NED,FW,Barcelona,28,1994,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0
434,Sun Menachem, ISR,DF,Maccabi Haifa,28,1993,0.7,3,3,2,3,66.7,1,0,0,0,0,2,0
435,Nuno Mendes, POR,"DF,MF",Paris S-G,20,2002,4.9,11,7,8,18,44.4,10,13,1,12,1,7,0
436,Edouard Mendy, SEN,GK,Chelsea,30,1992,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0
437,Ferland Mendy, FRA,DF,Real Madrid,27,1995,3.9,3,2,3,3,100.0,0,1,0,1,3,4,0
438,Alex Meret, ITA,GK,Napoli,25,1997,10.0,0,0,0,0,0.0,0,0,0,0,0,3,1
439,Lionel Messi, ARG,"FW,MF",Paris S-G,35,1987,6.8,4,4,0,3,0.0,3,3,0,3,3,0,0
440,Junior Messias, BRA,"FW,DF",Milan,31,1991,3.5,8,3,2,6,33.3,4,3,0,3,3,1,1
441,Thomas Meunier, BEL,DF,Dortmund,30,1991,3.9,13,7,7,10,70.0,3,6,1,5,6,10,0
442,Alexander Meyer, GER,GK,Dortmund,31,1991,4.5,0,0,0,0,0.0,0,0,0,0,0,0,0
443,Simon Mignolet, BEL,GK,Club Brugge,34,1988,8.0,0,0,0,0,0.0,0,0,0,0,1,5,0
444,Arkadiusz Milik, POL,FW,Juventus,28,1994,3.8,2,1,1,3,33.3,2,2,0,2,1,0,0
445,Éder Militão, BRA,DF,Real Madrid,24,1998,8.3,10,5,8,13,61.5,5,11,7,4,9,37,0
446,James Milner, ENG,MF,Liverpool,36,1986,2.7,11,9,3,4,75.0,1,5,1,4,2,2,0
447,Kim Min-jae, KOR,DF,Napoli,25,1996,8.7,12,9,6,6,100.0,0,9,8,1,22,32,0
448,Rafa Mir, ESP,"MF,FW",Sevilla,25,1997,1.7,0,0,0,0,0.0,0,1,0,1,0,5,0
449,Fabio Miretti, ITA,"MF,FW",Juventus,18,2003,2.4,3,2,2,2,100.0,0,1,1,0,0,0,0
450,Josip Mišić, CRO,MF,Dinamo Zagreb,28,1994,5.8,11,6,7,11,63.6,4,13,5,8,8,8,0
451,Henrikh Mkhitaryan, ARM,MF,Inter,33,1989,10.1,26,17,12,29,41.4,17,12,2,10,16,11,0
452,Anthony Modeste, FRA,FW,Dortmund,34,1988,3.8,2,0,0,2,0.0,2,5,2,3,0,6,0
453,Luka Modrić, CRO,MF,Real Madrid,36,1985,8.3,4,2,2,5,40.0,3,2,1,1,7,7,0
454,Ali Mohamed, NIG,MF,Maccabi Haifa,26,1995,4.0,11,2,3,11,27.3,8,1,0,1,7,3,0
455,Kudus Mohammed, GHA,FW,Ajax,21,2000,5.0,4,2,2,4,50.0,2,3,0,3,5,3,0
456,Sadegh Moharrami, IRN,"FW,DF",Dinamo Zagreb,26,1996,4.5,9,3,3,6,50.0,3,4,1,3,0,2,0
457,Nahuel Molina, ARG,"DF,MF",Atlético Madrid,24,1998,5.2,7,3,4,9,44.4,5,2,1,1,1,4,0
458,Gonzalo Montiel, ARG,DF,Sevilla,25,1997,2.5,5,5,3,5,60.0,2,2,0,2,4,6,1
459,Aaron Mooy, AUS,MF,Celtic,31,1990,1.7,0,0,0,1,0.0,1,0,0,0,1,3,0
460,Álvaro Morata, ESP,FW,Atlético Madrid,29,1992,3.3,0,0,0,0,0.0,0,1,0,1,0,3,0
461,Morato, BRA,DF,Benfica,21,2001,1.2,0,0,0,1,0.0,1,4,3,1,1,3,0
462,Alfredo Morelos, COL,FW,Rangers,26,1996,2.8,1,1,0,3,0.0,3,4,0,4,1,3,0
463,Hidemasa Morita, JPN,MF,Sporting CP,27,1995,3.7,5,1,1,1,100.0,0,3,1,2,2,3,0
464,Jhon Mosquera, COL,"FW,MF",Viktoria Plzeň,32,1990,4.8,12,6,3,4,75.0,1,3,2,1,4,8,0
465,Youssoufa Moukoko, GER,"FW,MF",Dortmund,17,2004,2.7,2,1,0,0,0.0,0,0,0,0,0,0,0
466,Mason Mount, ENG,MF,Chelsea,23,1999,4.9,13,6,5,12,41.7,7,7,1,6,4,2,0
467,Lucas Moura, BRA,"FW,MF",Tottenham,29,1992,1.9,3,2,1,1,100.0,0,2,0,2,0,0,0
468,Mykhailo Mudryk, UKR,"FW,DF",Chelsea,21,2001,1.0,1,1,1,4,25.0,3,0,0,0,1,1,0
469,Mykhailo Mudryk, UKR,MF,Shakhtar,21,2001,5.7,6,1,3,6,50.0,3,2,0,2,0,1,0
