,Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Goals minus expected goals
173,Kevin Diks, NED,DF,FC Copenhagen,25,1996,3.7,0,3,0,0.0,0.81,0.0,0.0,0.0,8.8,0,0,0,0.5,-0.5
174,Federico Dimarco, ITA,DF,Inter,24,1997,8.1,0,13,2,15.4,1.61,0.25,0.0,0.0,16.9,0,0,0,1.3,-1.3
175,Junior Dina Ebimbe, FRA,"MF,DF",Eint Frankfurt,21,2000,2.7,0,2,0,0.0,0.75,0.0,0.0,0.0,20.3,0,0,0,0.1,-0.1
176,Marko Dmitrović, SRB,GK,Sevilla,30,1992,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
177,Matt Doherty, IRL,DF,Tottenham,30,1992,0.8,0,4,1,25.0,4.74,1.18,0.0,0.0,17.8,0,0,0,0.1,-0.1
178,Kasper Dolberg, DEN,FW,Sevilla,24,1997,1.2,0,1,0,0.0,0.82,0.0,0.0,0.0,8.5,0,0,0,0.2,-0.2
179,Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
180,Julian Draxler, GER,MF,Benfica,28,1993,0.4,0,1,0,0.0,2.81,0.0,0.0,0.0,17.8,0,0,0,0.1,-0.1
181,Josip Drmić, SUI,FW,Dinamo Zagreb,29,1992,1.1,0,1,1,100.0,0.95,0.95,0.0,0.0,11.7,0,0,0,0.1,-0.1
182,Denzel Dumfries, NED,DF,Inter,26,1996,9.8,1,11,5,45.5,1.12,0.51,0.09,0.2,10.6,0,0,0,1.7,-0.7
183,Edin Džeko, BIH,FW,Inter,36,1986,9.2,4,23,11,47.8,2.51,1.2,0.17,0.36,12.4,0,0,0,3.2,0.8
184,Ederson, BRA,GK,Manchester City,28,1993,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
185,Jorge Eduardo Sánchez, MEX,DF,Ajax,24,1997,3.0,0,2,1,50.0,0.67,0.33,0.0,0.0,20.4,0,0,0,0.2,-0.2
186,Marcus Edwards, ENG,"FW,MF",Sporting CP,23,1998,3.9,2,7,5,71.4,1.79,1.28,0.29,0.4,15.4,0,0,0,0.7,1.3
187,Hugo Ekitike, FRA,"MF,FW",Paris S-G,20,2002,0.7,0,2,2,100.0,2.9,2.9,0.0,0.0,14.1,0,0,0,0.2,-0.2
188,Harvey Elliott, ENG,MF,Liverpool,19,2003,4.4,2,11,6,54.5,2.51,1.37,0.18,0.33,19.0,0,0,0,1.1,0.9
189,Elif Elmas, MKD,"FW,MF",Napoli,22,1999,3.2,0,4,1,25.0,1.26,0.32,0.0,0.0,21.1,1,0,0,0.2,-0.2
190,Emerson, BRA,"DF,MF",Tottenham,23,1999,6.0,0,8,4,50.0,1.33,0.66,0.0,0.0,15.5,0,0,0,0.5,-0.5
191,Youssef En-Nesyri, MAR,FW,Sevilla,25,1997,2.7,2,12,6,50.0,4.41,2.2,0.17,0.33,11.2,0,0,0,1.7,0.3
192,Ricardo Esgaio, POR,"DF,MF",Sporting CP,29,1993,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
193,Dario Essugo, POR,MF,Sporting CP,17,2005,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
194,Stephen Eustáquio, CAN,MF,Porto,25,1996,6.6,2,12,6,50.0,1.82,0.91,0.17,0.33,15.8,0,0,0,1.4,0.6
195,Evanilson, BRA,FW,Porto,22,1999,5.7,1,9,2,22.2,1.58,0.35,0.11,0.5,10.3,0,0,0,0.9,0.1
196,Fabinho, BRA,MF,Liverpool,28,1993,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
197,Nicolò Fagioli, ITA,MF,Juventus,21,2001,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
198,Rasmus Falk, DEN,MF,FC Copenhagen,30,1992,2.1,0,1,0,0.0,0.48,0.0,0.0,0.0,18.1,0,0,0,0.1,-0.1
199,Abdul Fatawu Issahaku, GHA,"MF,DF",Sporting CP,18,2004,1.0,0,2,1,50.0,2.02,1.01,0.0,0.0,21.2,0,0,0,0.1,-0.1
200,Ansu Fati, ESP,FW,Barcelona,19,2002,2.7,0,13,2,15.4,4.8,0.74,0.0,0.0,16.6,0,0,0,0.9,-0.9
201,Felipe, BRA,DF,Atlético Madrid,33,1989,1.0,0,2,0,0.0,2.0,0.0,0.0,0.0,7.4,0,0,0,0.2,-0.2
202,João Félix, POR,"FW,MF",Chelsea,22,1999,2.7,0,13,5,38.5,4.8,1.84,0.0,0.0,15.9,0,0,0,1.6,-1.6
203,João Félix, POR,FW,Atlético Madrid,22,1999,2.4,0,7,3,42.9,2.9,1.24,0.0,0.0,22.2,1,0,0,0.3,-0.3
204,Mateus Fernandes, POR,MF,Sporting CP,18,2004,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
205,Enzo Fernández, ARG,MF,Benfica,21,2001,4.7,0,11,3,27.3,2.32,0.63,0.0,0.0,25.2,0,0,0,0.5,-0.5
206,Enzo Fernández, ARG,MF,Chelsea,21,2001,3.7,0,8,3,37.5,2.17,0.81,0.0,0.0,26.0,0,0,0,0.3,-0.3
207,Fernando, BRA,FW,RB Salzburg,23,1999,0.7,0,4,2,50.0,5.63,2.81,0.0,0.0,16.5,0,0,0,0.6,-0.6
208,Fernando, BRA,MF,Sevilla,35,1987,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
209,Roberto Firmino, BRA,"FW,MF",Liverpool,30,1991,4.6,2,6,3,50.0,1.29,0.65,0.33,0.67,10.2,0,0,0,0.7,1.3
210,Phil Foden, ENG,"MF,FW",Manchester City,22,2000,4.3,1,9,5,55.6,2.11,1.17,0.11,0.2,16.1,0,0,0,1.0,0.0
211,Wesley Fofana, FRA,DF,Chelsea,21,2000,4.4,1,2,1,50.0,0.45,0.23,0.5,1.0,9.0,0,0,0,0.3,0.7
212,Bernardo Folha, POR,MF,Porto,20,2002,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
213,James Forrest, SCO,FW,Celtic,31,1991,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
214,Emil Forsberg, SWE,"MF,FW",RB Leipzig,30,1991,4.5,1,6,4,66.7,1.34,0.9,0.17,0.25,16.4,0,0,0,0.9,0.1
215,Fraser Forster, ENG,GK,Tottenham,34,1988,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
216,Timothy Fosu-Mensah, NED,"MF,DF",Leverkusen,24,1998,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
217,Lassina Franck Traoré, BFA,FW,Shakhtar,21,2001,2.7,1,5,2,40.0,1.84,0.74,0.2,0.5,17.0,0,0,0,0.5,0.5
218,André Franco, POR,MF,Porto,24,1998,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
219,Jeremie Frimpong, NED,"MF,FW",Leverkusen,21,2000,4.2,0,4,0,0.0,0.96,0.0,0.0,0.0,16.5,0,0,0,0.4,-0.4
220,Kyogo Furuhashi, JPN,FW,Celtic,27,1995,4.0,0,11,4,36.4,2.76,1.0,0.0,0.0,13.4,0,0,0,1.7,-1.7
221,Matteo Gabbia, ITA,DF,Milan,22,1999,2.3,1,1,1,100.0,0.43,0.43,1.0,1.0,4.2,0,0,0,0.4,0.6
222,Gianluca Gaetano, ITA,MF,Napoli,22,2000,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
223,Roberto Gagliardini, ITA,MF,Inter,28,1994,1.3,0,1,1,100.0,0.78,0.78,0.0,0.0,13.8,0,0,0,0.1,-0.1
224,Cody Gakpo, NED,"FW,MF",Liverpool,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,17.1,0,0,0,0.1,-0.1
225,Galeno, BRA,"FW,MF",Porto,24,1997,6.3,2,15,5,33.3,2.4,0.8,0.13,0.4,16.6,1,0,0,2.8,-0.8
226,Conor Gallagher, ENG,MF,Chelsea,22,2000,3.3,0,9,3,33.3,2.69,0.9,0.0,0.0,15.0,0,0,0,1.5,-1.5
227,Eric García, ESP,DF,Barcelona,21,2001,2.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
228,Federico Gatti, ITA,DF,Juventus,24,1998,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
229,Gavi, ESP,MF,Barcelona,17,2004,3.7,0,2,0,0.0,0.55,0.0,0.0,0.0,24.5,0,0,0,0.1,-0.1
230,Gerson, BRA,MF,Marseille,25,1997,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
231,Giorgos Giakoumakis, GRE,FW,Celtic,27,1994,2.7,1,10,3,30.0,3.66,1.1,0.1,0.33,14.5,0,0,0,1.7,-0.7
232,Samuel Gigot, FRA,DF,Marseille,28,1993,2.8,0,1,0,0.0,0.36,0.0,0.0,0.0,3.4,0,0,0,0.3,-0.3
233,Bryan Gil, ESP,MF,Tottenham,21,2001,0.4,0,1,0,0.0,2.25,0.0,0.0,0.0,17.2,0,0,0,0.0,0.0
234,Gilberto, BRA,DF,Benfica,29,1993,2.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
235,Olivier Giroud, FRA,FW,Milan,35,1986,10.4,5,23,13,56.5,2.22,1.26,0.13,0.23,13.8,0,2,3,5.7,-0.7
236,Serge Gnabry, GER,"FW,MF",Bayern Munich,27,1995,3.8,2,10,4,40.0,2.62,1.05,0.2,0.5,19.3,1,0,0,1.3,0.7
237,Sean Goldberg, ISR,DF,Maccabi Haifa,27,1995,6.0,0,1,0,0.0,0.17,0.0,0.0,0.0,5.6,0,0,0,0.1,-0.1
238,Connor Goldson, ENG,DF,Rangers,29,1992,3.5,0,1,0,0.0,0.29,0.0,0.0,0.0,10.3,0,0,0,0.0,0.0
239,Joe Gomez, ENG,DF,Liverpool,25,1997,3.3,0,1,0,0.0,0.3,0.0,0.0,0.0,16.6,0,0,0,0.1,-0.1
240,Papu Gómez, ARG,"FW,MF",Sevilla,34,1988,2.7,0,6,2,33.3,2.2,0.73,0.0,0.0,23.2,0,0,0,0.3,-0.3
241,Sergio Gómez, ESP,"DF,MF",Manchester City,21,2000,3.4,0,7,2,28.6,2.07,0.59,0.0,0.0,22.5,0,0,0,0.2,-0.2
242,Diogo Gonçalves, POR,"FW,MF",Benfica,25,1997,0.4,0,1,1,100.0,2.25,2.25,0.0,0.0,30.3,0,0,0,0.0,0.0
243,Pedro Gonçalves, POR,"MF,FW",Sporting CP,24,1998,4.0,0,3,3,100.0,0.74,0.74,0.0,0.0,18.2,0,0,0,0.3,-0.3
244,Leon Goretzka, GER,MF,Bayern Munich,27,1995,6.7,2,16,7,43.8,2.38,1.04,0.13,0.29,18.7,0,0,0,1.8,0.2
245,Robin Gosens, GER,DF,Inter,28,1994,4.7,1,4,4,100.0,0.85,0.85,0.25,0.25,11.6,0,0,0,0.3,0.7
246,Mario Götze, GER,"MF,FW",Eint Frankfurt,30,1992,5.8,0,4,0,0.0,0.69,0.0,0.0,0.0,19.0,0,0,0,0.5,-0.5
247,Lucas Gourna-Douath, FRA,MF,RB Salzburg,18,2003,3.5,0,1,0,0.0,0.29,0.0,0.0,0.0,13.0,0,0,0,0.0,0.0
248,Kamil Grabara, POL,GK,FC Copenhagen,23,1999,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
249,Ryan Gravenberch, NED,MF,Bayern Munich,20,2002,2.8,0,4,2,50.0,1.42,0.71,0.0,0.0,20.8,0,0,0,0.5,-0.5
250,Ivo Grbić, CRO,GK,Atlético Madrid,26,1996,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
251,Jack Grealish, ENG,FW,Manchester City,26,1995,10.4,0,16,3,18.8,1.54,0.29,0.0,0.0,17.4,0,0,0,1.0,-1.0
252,Antoine Griezmann, FRA,"FW,MF",Atlético Madrid,31,1991,4.5,1,20,11,55.0,4.43,2.44,0.05,0.09,16.3,1,0,1,2.5,-1.5
253,Florian Grillitsch, AUT,MF,Ajax,26,1995,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
254,Álex Grimaldo, ESP,DF,Benfica,26,1995,10.0,2,15,5,33.3,1.5,0.5,0.13,0.4,23.3,6,0,0,1.2,0.8
255,Marko Grujić, SRB,MF,Porto,26,1996,3.1,0,7,2,28.6,2.27,0.65,0.0,0.0,18.3,0,0,0,0.5,-0.5
256,Nemanja Gudelj, SRB,"DF,MF",Sevilla,30,1991,5.5,0,2,0,0.0,0.36,0.0,0.0,0.0,25.7,0,0,0,0.1,-0.1
257,Gonçalo Guedes, POR,"FW,MF",Benfica,25,1996,0.5,0,1,0,0.0,2.09,0.0,0.0,0.0,21.1,0,0,0,0.0,0.0
258,Mattéo Guendouzi, FRA,MF,Marseille,23,1999,4.6,2,7,2,28.6,1.51,0.43,0.14,0.5,24.1,1,1,1,1.2,0.8
259,Raphaël Guerreiro, POR,DF,Dortmund,28,1993,5.3,2,6,3,50.0,1.13,0.56,0.33,0.67,22.8,0,0,0,0.7,1.3
260,Pape Gueye, SEN,MF,Marseille,23,1999,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
261,Péter Gulácsi, HUN,GK,RB Leipzig,32,1990,2.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
262,İlkay Gündoğan, GER,MF,Manchester City,31,1990,11.0,1,19,8,42.1,1.72,0.72,0.05,0.13,19.4,1,0,0,1.6,-0.6
263,Joško Gvardiol, CRO,DF,RB Leipzig,20,2002,6.0,2,2,2,100.0,0.33,0.33,1.0,1.0,4.1,0,0,0,0.8,1.2
264,Erling Haaland, NOR,FW,Manchester City,22,2000,9.3,12,39,25,64.1,4.17,2.68,0.28,0.44,12.1,0,1,2,10.7,1.3
265,Amadou Haidara, MLI,MF,RB Leipzig,24,1998,3.8,0,6,2,33.3,1.59,0.53,0.0,0.0,21.3,0,0,0,0.3,-0.3
266,Achraf Hakimi, MAR,"DF,MF",Paris S-G,23,1998,6.4,0,4,2,50.0,0.62,0.31,0.0,0.0,15.6,0,0,0,0.5,-0.5
267,Sead Haksabanović, MNE,"MF,FW",Celtic,23,1999,2.5,0,2,2,100.0,0.79,0.79,0.0,0.0,15.0,0,0,0,0.1,-0.1
268,Sébastien Haller, CIV,FW,Dortmund,28,1994,1.6,0,2,0,0.0,1.26,0.0,0.0,0.0,10.2,0,0,0,0.2,-0.2
269,Marcel Halstenberg, GER,DF,RB Leipzig,30,1991,1.9,0,1,0,0.0,0.54,0.0,0.0,0.0,12.2,0,0,0,0.0,0.0
270,Amine Harit, MAR,MF,Marseille,25,1997,4.2,1,9,5,55.6,2.13,1.18,0.11,0.2,18.7,0,0,0,1.0,0.0
271,Joe Hart, ENG,GK,Celtic,35,1987,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
272,Makoto Hasebe, JPN,DF,Eint Frankfurt,38,1984,2.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
273,Reo Hatate, JPN,MF,Celtic,24,1997,5.0,0,6,2,33.3,1.21,0.4,0.0,0.0,24.9,0,0,0,0.3,-0.3
274,Milan Havel, CZE,DF,Viktoria Plzeň,27,1994,4.7,0,1,0,0.0,0.21,0.0,0.0,0.0,16.7,0,0,0,0.0,0.0
275,Kai Havertz, GER,"FW,MF",Chelsea,23,1999,6.9,2,24,7,29.2,3.49,1.02,0.04,0.14,14.1,0,1,1,2.6,-0.6
276,Eden Hazard, BEL,"FW,MF",Real Madrid,31,1991,1.5,1,2,1,50.0,1.36,0.68,0.5,1.0,6.9,0,0,0,0.9,0.1
277,Thorgan Hazard, BEL,"DF,FW",Dortmund,29,1993,2.2,1,4,1,25.0,1.8,0.45,0.25,1.0,21.2,1,0,0,0.3,0.7
278,Dolev Haziz, ISR,DF,Maccabi Haifa,27,1995,2.3,0,1,0,0.0,0.43,0.0,0.0,0.0,24.6,0,0,0,0.0,0.0
279,Lukáš Hejda, CZE,DF,Viktoria Plzeň,32,1990,5.7,0,2,0,0.0,0.35,0.0,0.0,0.0,8.5,0,0,0,0.1,-0.1
280,Jordan Henderson, ENG,MF,Liverpool,32,1990,3.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
281,Jack Hendry, SCO,DF,Club Brugge,27,1995,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
282,Benjamin Henrichs, GER,"DF,MF",RB Leipzig,25,1997,2.2,0,2,0,0.0,0.89,0.0,0.0,0.0,13.4,0,0,0,0.3,-0.3
283,Mario Hermoso, ESP,DF,Atlético Madrid,27,1995,1.8,1,4,1,25.0,2.28,0.57,0.25,1.0,15.7,0,0,0,0.7,0.3
284,Lucas Hernández, FRA,DF,Bayern Munich,26,1996,1.9,1,1,1,100.0,0.52,0.52,1.0,1.0,3.3,0,0,0,0.4,0.6
285,Theo Hernández, FRA,DF,Milan,24,1997,10.5,0,10,2,20.0,0.95,0.19,0.0,0.0,27.2,3,0,0,0.5,-0.5
286,Son Heung-min, KOR,"MF,FW",Tottenham,30,1992,6.9,2,15,8,53.3,2.18,1.17,0.13,0.25,18.4,0,0,0,1.5,0.5
287,Piero Hincapié, ECU,DF,Leverkusen,20,2002,5.0,0,1,0,0.0,0.2,0.0,0.0,0.0,27.8,0,0,0,0.0,0.0
288,Adam Hložek, CZE,"MF,FW",Leverkusen,20,2002,3.1,0,5,5,100.0,1.64,1.64,0.0,0.0,19.3,1,0,0,0.5,-0.5
289,Libor Holík, CZE,DF,Viktoria Plzeň,24,1998,3.2,0,3,1,33.3,0.93,0.31,0.0,0.0,18.7,0,0,0,0.2,-0.2
290,Lukáš Hrádecký, FIN,GK,Leverkusen,32,1989,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
291,Callum Hudson-Odoi, ENG,FW,Leverkusen,21,2000,5.1,1,8,2,25.0,1.56,0.39,0.13,0.5,18.8,0,0,0,0.8,0.2
292,Mats Hummels, GER,DF,Dortmund,33,1988,3.5,0,1,0,0.0,0.29,0.0,0.0,0.0,8.5,0,0,0,0.0,0.0
293,Pierre Højbjerg, DEN,MF,Tottenham,26,1995,6.9,1,6,2,33.3,0.87,0.29,0.17,0.5,22.5,0,0,0,0.3,0.7
294,Samuel Iling-Junior, ENG,DF,Juventus,18,2003,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
295,Gonçalo Inácio, POR,DF,Sporting CP,20,2001,6.0,0,1,0,0.0,0.17,0.0,0.0,0.0,4.1,0,0,0,0.2,-0.2
296,Isco, ESP,"MF,FW",Sevilla,30,1992,4.4,1,8,5,62.5,1.8,1.13,0.13,0.2,19.9,1,0,0,0.7,0.3
297,Franco Israel, URU,GK,Sporting CP,22,2000,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
298,Luka Ivanušec, CRO,MF,Dinamo Zagreb,23,1998,5.8,0,8,4,50.0,1.37,0.69,0.0,0.0,19.5,0,0,0,0.9,-0.9
299,Ryan Jack, SCO,MF,Rangers,30,1992,2.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
300,Kristijan Jakić, CRO,DF,Eint Frankfurt,25,1997,6.8,0,2,0,0.0,0.29,0.0,0.0,0.0,22.3,0,0,0,0.1,-0.1
301,Reece James, ENG,"DF,MF",Chelsea,22,1999,7.7,1,8,3,37.5,1.04,0.39,0.13,0.33,20.3,1,0,0,0.5,0.5
302,Adnan Januzaj, BEL,"FW,MF",Sevilla,27,1995,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
303,Luis Javier Suárez, COL,FW,Marseille,24,1997,1.3,0,4,1,25.0,3.16,0.79,0.0,0.0,13.0,0,0,0,0.5,-0.5
304,Elias Jelert, DEN,"DF,MF",FC Copenhagen,19,2003,2.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
305,Václav Jemelka, CZE,DF,Viktoria Plzeň,27,1995,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
306,Valdemar Jensen, DEN,DF,FC Copenhagen,19,2003,3.4,0,3,0,0.0,0.89,0.0,0.0,0.0,13.9,0,0,0,0.3,-0.3
307,Moritz Jenz, GER,DF,Celtic,23,1999,6.0,0,3,1,33.3,0.5,0.17,0.0,0.0,11.6,0,0,0,0.3,-0.3
308,Juan Jesus, BRA,DF,Napoli,31,1991,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
309,Erik Jirka, SVK,"FW,MF",Viktoria Plzeň,24,1997,3.0,0,4,1,25.0,1.35,0.34,0.0,0.0,19.7,0,0,0,0.3,-0.3
310,Ísak Jóhannesson, ISL,"FW,MF",FC Copenhagen,19,2003,3.2,0,3,2,66.7,0.93,0.62,0.0,0.0,8.5,0,0,0,0.2,-0.2
311,Curtis Jones, ENG,"FW,MF",Liverpool,21,2001,1.1,0,3,0,0.0,2.7,0.0,0.0,0.0,15.1,0,0,0,0.2,-0.2
312,Frenkie de Jong, NED,MF,Barcelona,25,1997,2.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
313,Joan Jordán, ESP,MF,Sevilla,28,1994,2.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
314,Jorginho, ITA,MF,Chelsea,30,1991,4.6,1,2,1,50.0,0.43,0.22,0.0,0.0,22.5,0,1,1,0.9,0.1
315,Jota, POR,FW,Celtic,23,1999,3.2,2,12,8,66.7,3.79,2.53,0.17,0.25,21.5,1,0,0,0.9,1.1
316,Diogo Jota, POR,"FW,MF",Liverpool,25,1996,2.9,0,7,3,42.9,2.4,1.03,0.0,0.0,15.8,0,0,0,0.8,-0.8
317,Vinicius Júnior, BRA,FW,Real Madrid,22,2000,10.8,7,38,19,50.0,3.52,1.76,0.18,0.37,13.6,0,0,0,6.5,0.5
318,Josip Juranović, CRO,DF,Celtic,26,1995,6.0,0,1,0,0.0,0.17,0.0,0.0,0.0,36.6,0,0,1,0.8,-0.8
319,Jutglà, ESP,FW,Club Brugge,23,1999,5.7,2,10,6,60.0,1.76,1.06,0.1,0.17,21.5,0,1,1,1.8,0.2
320,Issa Kaboré, BFA,DF,Marseille,21,2001,1.3,0,1,0,0.0,0.8,0.0,0.0,0.0,11.5,0,0,0,0.0,0.0
321,Pierre Kalulu, FRA,DF,Milan,22,2000,8.3,0,2,2,100.0,0.24,0.24,0.0,0.0,25.6,0,0,0,0.0,0.0
322,Lukáš Kalvach, CZE,MF,Viktoria Plzeň,27,1995,5.5,0,3,2,66.7,0.55,0.37,0.0,0.0,30.9,0,0,0,0.3,-0.3
323,Daichi Kamada, JPN,"MF,FW",Eint Frankfurt,25,1996,7.7,3,12,5,41.7,1.55,0.65,0.17,0.4,17.5,0,1,1,3.0,0.0
324,Glen Kamara, FIN,MF,Rangers,26,1995,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
325,Dijon Kameri, KVX,MF,RB Salzburg,18,2004,1.3,0,4,2,50.0,2.98,1.49,0.0,0.0,23.8,0,0,0,0.2,-0.2
326,Kevin Kampl, SVN,MF,RB Leipzig,31,1990,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
327,Harry Kane, ENG,FW,Tottenham,29,1993,8.0,1,20,4,20.0,2.5,0.5,0.0,0.0,17.2,2,1,2,3.6,-2.6
328,N'Golo Kanté, FRA,MF,Chelsea,31,1991,1.8,0,2,0,0.0,1.1,0.0,0.0,0.0,9.6,0,0,0,0.6,-0.6
329,Mamoudou Karamoko, FRA,FW,FC Copenhagen,22,1999,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
330,Moise Kean, ITA,"FW,MF",Juventus,22,2000,1.2,1,4,2,50.0,3.24,1.62,0.25,0.5,10.7,0,0,0,1.4,-0.4
331,Ryan Kent, ENG,"FW,MF",Rangers,25,1996,5.6,0,7,1,14.3,1.24,0.18,0.0,0.0,23.9,0,0,0,0.3,-0.3
332,Franck Kessié, CIV,MF,Barcelona,25,1996,3.0,1,3,2,66.7,0.99,0.66,0.33,0.5,8.8,0,0,0,0.3,0.7
333,Davit Khocholava, GEO,DF,FC Copenhagen,29,1993,4.8,0,1,0,0.0,0.21,0.0,0.0,0.0,10.4,0,0,0,0.1,-0.1
334,Joshua Kimmich, GER,MF,Bayern Munich,27,1995,9.0,1,21,9,42.9,2.33,1.0,0.0,0.0,28.3,4,1,1,1.7,-0.7
335,Presnel Kimpembe, FRA,DF,Paris S-G,26,1995,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
336,Leon King, SCO,DF,Rangers,18,2004,4.2,0,1,0,0.0,0.24,0.0,0.0,0.0,11.7,0,0,0,0.1,-0.1
337,Simon Kjær, DEN,DF,Milan,33,1989,5.6,0,3,0,0.0,0.53,0.0,0.0,0.0,12.4,0,0,0,0.3,-0.3
338,Maurits Kjærgaard, DEN,MF,RB Salzburg,19,2003,5.5,0,9,1,11.1,1.64,0.18,0.0,0.0,24.1,0,0,0,0.6,-0.6
339,Davy Klaassen, NED,MF,Ajax,29,1993,2.4,1,1,1,100.0,0.42,0.42,1.0,1.0,11.3,0,0,0,0.1,0.9
340,Jan Kliment, CZE,FW,Viktoria Plzeň,28,1993,0.5,1,1,1,100.0,2.0,2.0,1.0,1.0,12.5,0,0,0,0.1,0.9
341,Lukas Klostermann, GER,DF,RB Leipzig,26,1996,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
342,Ansgar Knauff, GER,"DF,FW",Eint Frankfurt,20,2002,3.3,0,7,2,28.6,2.15,0.61,0.0,0.0,21.9,0,0,0,0.5,-0.5
343,Gregor Kobel, SUI,GK,Dortmund,24,1997,3.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
344,Philipp Köhn, SUI,GK,RB Salzburg,24,1998,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
345,Sekou Koita, MLI,FW,RB Salzburg,22,1999,0.2,0,1,0,0.0,4.5,0.0,0.0,0.0,13.1,0,0,0,0.0,0.0
346,Koke, ESP,MF,Atlético Madrid,30,1992,3.7,0,2,1,50.0,0.55,0.27,0.0,0.0,21.5,0,0,0,0.2,-0.2
347,Sead Kolašinac, BIH,DF,Marseille,29,1993,1.7,0,1,0,0.0,0.6,0.0,0.0,0.0,4.3,0,0,0,0.3,-0.3
348,Randal Kolo Muani, FRA,FW,Eint Frankfurt,23,1998,5.7,2,12,7,58.3,2.1,1.22,0.17,0.29,14.3,0,0,0,1.4,0.6
