Player,Nationality,Position,Club,Age,Born,90s,SCA,SCA/90,SCA (PassLive),SCA (PassDead),SCA (TO),SCA(Sh),SCA(Fld),SCA(Def),GCA,GCA/90,GCA (PassLive),GCA (PassDead),GCA (TO),GCA (Sh),GCA (Fld),GCA (Def)
Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Alphonso Davies, CAN,DF,Bayern Munich,21,2000,6.7,21,3.13,17,0,3,1,0,0,3,0.45,3,0,0,0,0,0.0
Kevin De Bruyne, BEL,MF,Manchester City,31,1991,8.0,42,5.28,28,6,4,3,1,0,7,0.88,5,1,0,1,0,0.0
Ousmane Dembélé, FRA,FW,Barcelona,25,1997,4.6,28,6.1,16,5,3,1,1,2,4,0.87,2,1,0,0,0,1.0
Rúben Dias, POR,DF,Manchester City,25,1997,11.7,11,0.94,9,0,1,1,0,0,1,0.09,0,0,0,1,0,0.0
Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Ederson, BRA,GK,Manchester City,28,1993,11.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Hugo Ekitike, FRA,"MF,FW",Paris S-G,20,2002,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Ansu Fati, ESP,FW,Barcelona,19,2002,2.7,7,2.6,3,0,2,2,0,0,2,0.74,1,0,0,1,0,0.0
Phil Foden, ENG,"MF,FW",Manchester City,22,2000,4.3,20,4.69,9,5,2,2,2,0,5,1.17,3,0,1,1,0,0.0
Eric García, ESP,DF,Barcelona,21,2001,2.5,2,0.8,1,0,0,0,0,1,1,0.4,1,0,0,0,0,0.0
Gavi, ESP,MF,Barcelona,17,2004,3.7,12,3.28,11,0,0,0,0,1,0,0.0,0,0,0,0,0,0.0
Serge Gnabry, GER,"FW,MF",Bayern Munich,27,1995,3.8,12,3.16,9,0,1,2,0,0,3,0.79,2,0,0,1,0,0.0
Sergio Gómez, ESP,"DF,MF",Manchester City,21,2000,3.4,10,2.95,9,0,0,1,0,0,1,0.3,0,0,0,1,0,0.0
Leon Goretzka, GER,MF,Bayern Munich,27,1995,6.7,19,2.82,17,0,0,2,0,0,7,1.04,6,0,0,1,0,0.0
Ryan Gravenberch, NED,MF,Bayern Munich,20,2002,2.8,12,4.25,10,0,1,0,1,0,0,0.0,0,0,0,0,0,0.0
Jack Grealish, ENG,FW,Manchester City,26,1995,10.4,55,5.31,43,6,2,1,3,0,6,0.58,5,0,0,0,1,0.0
Raphaël Guerreiro, POR,DF,Dortmund,28,1993,5.3,13,2.44,11,2,0,0,0,0,2,0.38,2,0,0,0,0,0.0
İlkay Gündoğan, GER,MF,Manchester City,31,1990,11.0,35,3.17,29,1,0,4,1,0,4,0.36,3,0,0,1,0,0.0
Erling Haaland, NOR,FW,Manchester City,22,2000,9.3,20,2.14,15,0,4,1,0,0,2,0.21,1,0,1,0,0,0.0
Achraf Hakimi, MAR,"DF,MF",Paris S-G,23,1998,6.4,7,1.09,6,0,0,1,0,0,2,0.31,2,0,0,0,0,0.0
Sébastien Haller, CIV,FW,Dortmund,28,1994,1.6,4,2.52,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0
Eden Hazard, BEL,"FW,MF",Real Madrid,31,1991,1.5,8,5.45,7,0,1,0,0,0,2,1.36,1,0,1,0,0,0.0
Thorgan Hazard, BEL,"DF,FW",Dortmund,29,1993,2.2,8,3.6,5,2,0,1,0,0,0,0.0,0,0,0,0,0,0.0
Lucas Hernández, FRA,DF,Bayern Munich,26,1996,1.9,2,1.04,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0
Mats Hummels, GER,DF,Dortmund,33,1988,3.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Frenkie de Jong, NED,MF,Barcelona,25,1997,2.6,5,1.89,5,0,0,0,0,0,2,0.76,2,0,0,0,0,0.0
Vinicius Júnior, BRA,FW,Real Madrid,22,2000,10.8,53,4.91,34,0,10,3,6,0,8,0.74,6,0,0,1,1,0.0
Franck Kessié, CIV,MF,Barcelona,25,1996,3.0,3,0.99,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0
Joshua Kimmich, GER,MF,Bayern Munich,27,1995,9.0,33,3.67,22,9,0,1,0,1,4,0.44,2,2,0,0,0,0.0
Presnel Kimpembe, FRA,DF,Paris S-G,26,1995,1.6,1,0.61,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0.0
Gregor Kobel, SUI,GK,Dortmund,24,1997,3.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Jules Koundé, FRA,DF,Barcelona,23,1998,2.7,5,1.83,5,0,0,0,0,0,1,0.37,1,0,0,0,0,0.0
Toni Kroos, GER,MF,Real Madrid,32,1990,9.4,33,3.53,20,11,0,1,1,0,4,0.43,3,1,0,0,0,0.0
Aymeric Laporte, ESP,DF,Manchester City,28,1994,3.2,4,1.23,3,0,0,0,1,0,2,0.62,1,0,0,0,1,0.0
Robert Lewandowski, POL,FW,Barcelona,33,1988,4.9,14,2.86,10,0,0,1,2,1,0,0.0,0,0,0,0,0,0.0
Rico Lewis, ENG,DF,Manchester City,17,2004,1.3,2,1.53,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0
Matthijs de Ligt, NED,DF,Bayern Munich,22,1999,6.8,5,0.73,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0
Andriy Lunin, UKR,GK,Real Madrid,23,1999,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Riyad Mahrez, ALG,"FW,MF",Manchester City,31,1991,5.6,33,5.87,21,6,2,1,2,1,6,1.07,5,1,0,0,0,0.0
Donyell Malen, NED,"FW,MF",Dortmund,23,1999,2.8,8,2.9,5,1,2,0,0,0,0,0.0,0,0,0,0,0,0.0
Sadio Mané, SEN,FW,Bayern Munich,30,1992,6.1,27,4.4,18,0,4,2,2,1,5,0.82,3,0,2,0,0,0.0
Mariano, DOM,FW,Real Madrid,28,1993,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Marquinhos, BRA,DF,Paris S-G,28,1994,7.3,3,0.41,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Eric Maxim Choupo-Moting, CMR,FW,Bayern Munich,33,1989,4.8,13,2.68,10,0,1,2,0,0,1,0.21,1,0,0,0,0,0.0
Noussair Mazraoui, MAR,DF,Bayern Munich,24,1997,4.4,11,2.53,9,0,1,1,0,0,3,0.69,2,0,0,1,0,0.0
Kylian Mbappé, FRA,FW,Paris S-G,23,1998,7.2,28,3.87,20,1,3,1,3,0,8,1.11,6,0,2,0,0,0.0
Memphis, NED,FW,Barcelona,28,1994,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Nuno Mendes, POR,"DF,MF",Paris S-G,20,2002,4.9,10,2.05,7,0,2,0,1,0,1,0.2,1,0,0,0,0,0.0
Ferland Mendy, FRA,DF,Real Madrid,27,1995,3.9,7,1.82,6,0,0,0,1,0,1,0.26,0,0,0,0,1,0.0
Lionel Messi, ARG,"FW,MF",Paris S-G,35,1987,6.8,42,6.17,29,5,1,3,4,0,7,1.03,7,0,0,0,0,0.0
Thomas Meunier, BEL,DF,Dortmund,30,1991,3.9,10,2.56,9,1,0,0,0,0,2,0.51,2,0,0,0,0,0.0
Alexander Meyer, GER,GK,Dortmund,31,1991,4.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Éder Militão, BRA,DF,Real Madrid,24,1998,8.3,3,0.36,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Anthony Modeste, FRA,FW,Dortmund,34,1988,3.8,2,0.53,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Luka Modrić, CRO,MF,Real Madrid,36,1985,8.3,24,2.91,21,2,1,0,0,0,2,0.24,1,1,0,0,0,0.0
Youssoufa Moukoko, GER,"FW,MF",Dortmund,17,2004,2.7,8,2.98,4,1,1,2,0,0,2,0.74,1,0,0,1,0,0.0
Nordi Mukiele, FRA,"DF,MF",Paris S-G,24,1997,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Thomas Müller, GER,"MF,FW",Bayern Munich,32,1989,4.1,13,3.21,12,0,0,1,0,0,1,0.25,1,0,0,0,0,0.0
Jamal Musiala, GER,"MF,FW",Bayern Munich,19,2003,5.9,27,4.59,20,0,4,1,2,0,2,0.34,2,0,0,0,0,0.0
Nacho, ESP,DF,Real Madrid,32,1990,4.9,9,1.84,8,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Manuel Neuer, GER,GK,Bayern Munich,36,1986,3.0,1,0.33,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Neymar, BRA,"MF,FW",Paris S-G,30,1992,6.0,38,6.35,30,4,0,2,2,0,4,0.67,4,0,0,0,0,0.0
Stefan Ortega, GER,GK,Manchester City,29,1992,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Salih Özcan, TUR,MF,Dortmund,24,1998,6.0,8,1.33,8,0,0,0,0,0,1,0.17,1,0,0,0,0,0.0
Cole Palmer, ENG,"MF,FW",Manchester City,20,2002,1.5,2,1.3,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0
Antonios Papadopoulos, GER,"MF,FW",Dortmund,22,1999,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Felix Passlack, GER,DF,Dortmund,24,1998,1.0,4,4.0,3,0,1,0,0,0,1,1.0,0,0,1,0,0,0.0
Benjamin Pavard, FRA,DF,Bayern Munich,26,1996,6.6,8,1.22,7,0,0,0,0,1,2,0.3,2,0,0,0,0,0.0
Pedri, ESP,"MF,FW",Barcelona,19,2002,4.5,21,4.71,17,0,3,1,0,0,0,0.0,0,0,0,0,0,0.0
Iñaki Peña, ESP,GK,Barcelona,23,1999,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Danilo Pereira, POR,"DF,MF",Paris S-G,30,1991,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Kalvin Phillips, ENG,MF,Manchester City,26,1995,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
